,Unnamed: 0,Name,starName,defaultPlanetEntry,numStars,numPlanets,solution,controversial,orbitalPeriod,planetSemimajor,planetEarthRads,earthMass,bestEarthMass,bestMassProvenance,eccentricity,equilTemp,stellarEffTemp,stellarRadius,stellarMetallicity,stellarMetallicityRatio,luminosity,stellarAge,distance,density,escapeVelocity,surfaceEarthTemp,surfaceVenusTemp,surfaceMarsTemp,surfaceTitanTemp,similarityIndex_Earth,similarityIndex_Arrakis,similarityIndex_Erid
1067,1067,HAT-P-38 b,HAT-P-38,1,1,1,Published Confirmed,0,4.640382,7845000.0,9.247,84.857,84.857,Mass,0.067,1082.0,5330.0,640634.64,,,-0.208,,255.206,0.10719362104866603,3.0255160165432664,332.20060245262476,274.2110547812295,321.5819405410023,270.3010142072732,0.24684783310443245,0.26467535685943794,0.30886872218155764
1072,1072,HAT-P-39 b,HAT-P-39,1,2,1,Published Confirmed,0,3.54387,7635000.0,17.609,190.372,190.372,Mass,0.0,1752.0,6430.0,1128074.04,,,0.607,,697.004,0.03482433508646448,3.2839023750017318,538.322297703283,444.35176810530766,521.1150366790826,438.0156506750269,0.10458134108876653,0.11392622206324152,0.20438199391673156
1100,1100,HAT-P-42 b,HAT-P-42,1,1,1,Published Confirmed,0,4.641878,8625000.0,14.348,331.801,331.801,Mass,0.0,1428.0,5743.0,1065403.26,0.27,[Fe/H],0.356,5.2,405.238,0.1121985973093107,4.802852060762201,438.34629263231005,361.8277582121148,424.33472538255035,356.6683702457956,0.1653278507504377,0.17833381988074504,0.29191740418951756
1112,1112,HAT-P-44 b,HAT-P-44,1,1,2,Published Confirmed,0,4.301219,7605000.0,13.922,111.871,111.871,Mass,0.044,1108.0,5295.0,661524.9,0.33,[Fe/H],-0.194,7.5,347.85,0.041409164962286846,2.8311572612988263,340.131833744625,280.7577957631439,329.25965313673635,276.7544036538955,0.16249538427395258,0.17474892230458494,0.2099009879567976
1120,1120,HAT-P-45 b,HAT-P-45,1,1,1,Published Confirmed,0,3.128992,6780000.0,15.984,283.492,283.492,Mass,0.049,1652.0,6330.0,919171.4400000001,0.07,[Fe/H],0.4,2.0,298.64,0.06933750913038021,4.20613993012513,507.08649314129894,418.5685429917907,490.8776723539085,412.60007469418537,0.13065839199994125,0.1417858964011523,0.2561710242021122
1123,1123,HAT-P-46 b,HAT-P-46,1,1,1,Published Confirmed,0,4.463129,8655000.0,14.392,156.684,156.684,Mass,0.123,1458.0,6120.0,974878.7999999999,0.3,[Fe/H],0.391,2.5,290.736,0.05249827579060965,3.295397426140479,446.4916625115118,368.5512573559121,432.2197317095678,363.2959974178385,0.14278218444783397,0.15462604367284483,0.2527767193580687
1139,1139,HAT-P-50 b,HAT-P-50,1,1,1,Published Confirmed,0,3.1220109,6795000.0,14.437,429.0705,429.0705,Mass,0.115,1862.0,6280.0,1183781.4,-0.18,[Fe/H],0.603,3.37,515.458,0.14242349136927884,5.444799579492192,569.3143873263652,469.93382160754885,551.1164763177503,463.232923598428,0.14486821020310744,0.1572223826681547,0.2909546528065832
1148,1148,HAT-P-51 b,HAT-P-51,1,1,1,Published Confirmed,0,4.2180278,7603500.0,14.493,98.20947,98.20947,Mass,0.123,1192.0,5449.0,724195.68,0.27,[Fe/H],-0.066,8.2,440.089,0.03222272994842649,2.5998816921416523,366.17620090643544,302.2558103297133,354.4715223212655,297.9458729225626,0.14512630127691462,0.15652987391677506,0.2029228145140438
1150,1150,HAT-P-52 b,HAT-P-52,1,1,1,Published Confirmed,0,2.7535953,5541000.0,11.31,259.98494,259.98494,Mass,0.047,1218.0,5131.0,619744.38,0.28,[Fe/H],-0.305,9.4,361.155,0.17949163668923382,4.788492831136462,373.81163482745177,308.5583888733295,361.8628925929169,304.1585815011877,0.22416097876940683,0.24022381856269598,0.32930600671657595
1158,1158,HAT-P-53 b,HAT-P-53,1,1,1,Published Confirmed,0,1.9616241,4738500.0,14.773,471.65972,471.65972,Mass,0.134,1778.0,5956.0,842573.82,0.0,[Fe/H],0.217,4.67,666.802,0.14611894781493107,5.643338405890989,545.9167845937353,450.62054740726626,528.4667687759357,444.19504196353853,0.14747615933307306,0.1598303606443539,0.29523210804187755
