,Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,eccentricity,earthFlux,equilTemp,stellarEffTemp,stellarRadius,stellarMass,luminosity,stLogSurfaceGrav,Unnamed: 14,calculatedEqEarthTemp,calculatedEqVenusTemp,calculatedEqMarsTemp,calculatedEqTitanTemp,calculatedSurfaceEarthTemp,calculatedSurfaceVenusTemp,calculatedSurfaceMarsTemp,calculatedSurfaceTitanTemp,similarityIndex_Earth,similarityIndex_Venus,similarityIndex_Mars,similarityIndex_Titan,similarityIndex_Arrakis
1364,TOI-257 b,TOI-257,0,0.1528,7.163,43.86032,0,186,1027,6095,1.87,1.41,0.636,4.04,,50.8403658580004,38.9172535326465,51.7433674457605,51.4826872785163,656.943948270619,1408.25276213561,603.424839531305,776.680922241551,0.000171794336996229,0.000144973594295846,7.97558509336206E-06,3.44493647046118E-07,1.9153935696225E-05
1445,K2-261 b,K2-261,0,0.1034,9.528,59.75174,0.286,180,1046,5445,1.64,1.09,0.328,4.04,,52.3738206804742,40.0910816336038,53.3040587390204,53.0355158970524,676.758791231903,1450.72869544007,621.625431021228,800.107289964026,9.26805871567894E-05,7.8170899960909E-05,4.21174947698573E-06,1.79657457260776E-07,1.05831351257975E-05
1492,K2-261 b,K2-261,0,0.1087,9.505,67.69745,0.248,180,1030,5503,1.64,1.27,0.346,4.11,,51.7678726009319,39.6272408519495,52.6873481075435,52.4219122189589,668.928912018734,1433.94423603807,614.433426862892,790.850308718772,8.47602124663307E-05,7.14124252030268E-05,3.84931429736514E-06,1.64684417308803E-07,9.45409190008801E-06
1426,TOI-954 b,TOI-954,0,0.04963,9.55,55.30242,0.14,1393,1526,5710,1.89,1.2,0.535,3.96,,85.4323540432794,65.3967084241571,86.9497615214756,86.5117135262612,1103.93123708046,2366.43357156846,1013.99751279003,1305.13772683953,3.30693728473945E-05,2.8721562387864E-05,1.45093386084038E-06,5.53567830598506E-08,8.8844213518992E-06
1532,HD 332231 b,HD 332231,0,0.1436,9.718,77.55052,0.032,98.09,876,6089,1.28,1.13,0.305,4.28,,43.641915618501,33.4069880519614,44.4170618715092,44.1932912185981,563.927734835519,1208.85928292296,517.986357582212,666.711238184989,0.000107396620903709,8.94096583773613E-05,4.93750805711671E-06,2.21596569204384E-07,8.7801102219571E-06
1654,KOI-94 d,KOI-94,0,0.1684,11.27,106,0.022,,806,6182,1.52,1.28,0.479,4.18,,45.1147858437306,34.5344398908417,45.9160924936892,45.6847698090379,582.959721815218,1249.65705311879,535.467869847329,689.212063770481,7.14595437583343E-05,5.95760679393207E-05,3.24669568832462E-06,1.4393877269275E-07,5.95290607140447E-06
1684,HD 149026 b,HD 149026,0,0.04313,7.331,114.10097,,,1634,6160,1.37,1.29,0.386,4.28,,84.4623503534763,64.6541905668091,85.96252910294,85.5294547289775,1091.39714054,2339.56495344596,1002.48452874701,1290.31912064621,1.94986281352922E-05,1.69159352178002E-05,8.59796981685653E-07,3.29756664833876E-08,5.25812493128196E-06
1680,TOI-1298 b,TOI-1298,0,0.059,9.427,113.14691,0.032,,1388,5889,1.41,1.44,0.334,4.39,,69.6492872163315,53.3150956571951,70.8863636197226,70.529242117279,899.987184709271,1929.25049707801,826.668125862255,1064.02209574451,2.48763248425533E-05,2.13249645874737E-05,1.09845692599604E-06,4.36908015079361E-08,4.70245145317871E-06
1597,Kepler-427 b,Kepler-427,0,0.091,13.79,92.17,0.57,,1100,5800,1.35,0.96,0.29,4.14,,54.1358386016666,41.4398700817366,55.0973727564082,54.8197952995504,699.527057953368,1499.53571251351,642.538840344767,827.025383115839,3.90807395949042E-05,3.29504669596539E-05,1.73867048232212E-06,7.32079507122289E-08,4.629552701898E-06
1454,KELT-11 b,KELT-11,0,0.06229,15.356,61.97685,0,1433,1712,5370,2.72,1.44,0.744,3.73,,82.8114013325287,63.3904230754982,84.2822567370073,83.8576474804692,1070.06407281102,2293.83448947982,982.889397373998,1265.09781103281,1.78845849922379E-05,1.54716591370483E-05,7.72242985117435E-07,2.95077874174293E-08,4.52464735749578E-06
