Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,eccentricity,earthFlux,equilTemp,stellarEffTemp,stellarRadius,stellarMass,luminosity,stLogSurfaceGrav,
HD 215152 b,HD 215152,0,0.057638,,1.819,0,,,4935,0.73,0.77,,4.4,
tau Cet h,tau Cet,0,0.243,,1.83,0.23,,,,,0.78,,,
GJ 357 b,GJ 357,0,0.035,1.217,1.84,,12.6,525,3505,0.34,0.34,-1.798,4.94,
GJ 3473 b,GJ 3473,0,0.01589,1.264,1.86,0,59.4,773,3347,0.36,0.36,-1.824,4.81,
Kepler-78 b,Kepler-78,0,,1.173,1.86,0,,2250,5058,0.74,0.76,,4.55,
Kepler-78 b,Kepler-78,0,,1.2,1.87,,,,,,0.83,,,
Kepler-11 b,Kepler-11,0,0.091,1.8,1.9,0.045,,,5663,1.06,0.96,,4.37,
Kepler-307 c,Kepler-307,0,,2.81,1.9,,,,,1.08,0.98,,,
Wolf 1061 b,Wolf 1061,0,0.0375,,1.91,0.15,7.34,,3342,0.31,0.29,-1.991,,
HD 20781 b,HD 20781,0,0.0529,,1.93,0.1,,,5256,,0.7,-0.31,4.37,
GJ 581 e,GJ 581,0,0.03,,1.94,0,,,,,,,,
L 98-59 d,L 98-59,0,0.0486,1.521,1.94,0.074,5.01,416,3415,0.3,0.27,-1.948,4.86,
Kepler-78 b,Kepler-78,0,,1.121,1.96716,,,,5089,0.75,0.84,,4.6,
Kepler-138 c,Kepler-138,0,,1.197,1.97,,4.63,,3841,0.44,0.52,,4.89,
PSR B0329+54 b,PSR B0329+54,0,10.26,,1.97,0.236,,,,,1.44,,,
Kepler-11 f,Kepler-11,0,,,1.98,0.005,,,5820,1.13,1.05,0.12,4.35,
Kepler-11 f,Kepler-11,0,0.25,2.49,2,0.013,,,5663,1.06,0.96,,4.37,
Kepler-177 b,Kepler-177,0,,2.9,2,,,,,1.07,1.07,,4.41,
Kepler-60 c,Kepler-60,0,,1.8,2,,,,,,1,,,
OGLE-2019-BLG-0960L b,OGLE-2019-BLG-0960L,0,1.67,,2,,,,,,0.48,,,
OGLE-2019-BLG-0960L b,OGLE-2019-BLG-0960L,0,1.65,,2,,,,,,0.43,,,
GJ 3323 b,GJ 3323,0,0.03282,,2.02,0.23,2.58,,3159,0.12,0.16,-2.569,,
Kepler-1972 b,Kepler-1972,0,,0.802,2.02,0.067,,,5818,1.38,1.12,0.294,4.2,
Kepler-68 c,Kepler-68,0,,,2.04,0,,,5875.23,1.26,1.06,0.231,4.26,
Kepler-47 b,Kepler-47,0,0.2877,3.05,2.07,0.021,,,,0.94,0.96,,,
GJ 1252 b,GJ 1252,0,0.00916,1.193,2.09,0,,1089,3458,0.39,0.38,-1.708,,
Kepler-11 c,Kepler-11,0,,,2.09,0.015,,,5820,1.13,1.05,0.12,4.35,
K2-3 c,K2-3,0,0.1405,1.644,2.1,0.04,,,,0.55,0.61,,4.73,
K2-32 e,K2-32,0,0.04899,1.212,2.1,0.043,,1066,5271,0.86,0.83,,4.49,
Kepler-307 b,Kepler-307,0,,3.21,2.1,,,,,1.08,0.98,,,
Kepler-51 b,Kepler-51,0,0.2514,7.1,2.1,0.04,,543,6018,0.94,1.04,,4.51,
Kepler-80 e,Kepler-80,0,,1.3,2.1,,,,,,0.6,,,
OGLE-2018-BLG-1185L b,OGLE-2018-BLG-1185L,0,1.14,,2.1,,,,,,0.09,,,
