Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,eccentricity,earthFlux,equilTemp,stellarEffTemp,stellarRadius,stellarMass,luminosity,stLogSurfaceGrav,
BD+55 362 b,BD+55 362,0,0.78,,228.83645,0.27,,,5012,,0.91,,4.09,
HD 175541 b,HD 175541,0,0.96,,228.8376,0.33,,,5036,4.47,2.12,,3.46,
WASP-74 b,WASP-74,0,,15.244,228.8376,0,,,5990,1.42,0.98,,4.39,
HAT-P-24 b,HAT-P-24,0,0.04651,13.922,229.79109,0.038,,,6373,1.32,1.19,,,
KMT-2017-BLG-1146L b,KMT-2017-BLG-1146L,0,1.6,,230,,,,,,0.33,,,
OGLE-2006-BLG-109L b,OGLE-2006-BLG-109L,0,2.3,,230,,,82,,,0.5,,,
OGLE-2015-BLG-0051L b,OGLE-2015-BLG-0051L,0,0.73,,230,,,,,,0.1,,,
HAT-P-68 b,HAT-P-68,0,0.02996,12.016,230.10892,0.041,184.8,1028,4508,0.67,0.68,-0.779,4.62,
HD 32963 b,HD 32963,0,3.416,,230.74342,0.069,,,5706.08,1.11,0.98,,4.34,
HAT-P-30 b,HAT-P-30,0,,,230.74458,0.02,,,,,1.24,,,
OGLE-2006-BLG-109L b,OGLE-2006-BLG-109L,0,2.3,,231,,,,,,0.51,,,
WASP-81 b,WASP-81,0,0.03908,16.018,231.69807,0.066,,1623,5870,1.28,1.08,0.246,4.26,
HD 159868 c,HD 159868,0,1,,232.01,0.15,,,5558,,1.09,,3.99,
HD 192263 b,HD 192263,0,0.15,,232.01,0,,,,,,,,
HD 20782 b,HD 20782,0,1.359,,232.01,0.57,,,5782.13,1.13,1.04,0.107,4.35,
HAT-P-43 b,HAT-P-43,0,0.04445,14.359,232.0159,0.21,,,5645,1.1,1.05,,,
HD 207832 c,HD 207832,0,2.112,,232.0159,0.27,,,5710,0.9,0.94,-0.112,,
HD 209458 b,HD 209458,0,,15.581,232.0159,0,,,6091,1.19,1.23,,4.45,
K2-29 b,K2-29,0,0.04217,13.339,232.0159,0.066,,1171,5358,0.86,0.94,,4.54,
CoRoT-4 b,CoRoT-4,0,0.0912,13.002,232.33373,,,1058,6190,1.15,1.19,,4.4,
Wendelstein-2 b,Wendelstein-2,0,0.0234,12.993,232.33373,0.057,,2470,4591,0.66,0.73,,,
HD 192263 b,HD 192263,0,0.15312,,232.96,0.008,,,4996,0.73,0.81,,4.63,
HAT-P-30 b,HAT-P-30,0,0.0419,16.466,232.96939,,,,,1.33,,,4.28,
Qatar-10 b,Qatar-10,0,0.0286,17.295,233.92288,0,,1955,6124,1.25,1.16,0.3,4.3,
HD 156411 b,HD 156411,0,1.88,,235.18,0.22,,,5900,2.16,1.25,0.731,4.07,
HD 209458 b,HD 209458,0,0.049,15.805,235.1942,,,,6071,1.2,1.26,0.248,4.38,
NGTS-2 b,NGTS-2,0,0.063,17.878,235.1942,0,,1468,6478,1.7,1.64,,4.2,
Kepler-56 b,Kepler-56,0,,6.51,236.2,,,,,4.23,1.32,,,
HAT-P-30 b,HAT-P-30,0,0.0419,15.02,237.10118,0.016,,,6304,1.22,1.24,,,
HAT-P-9 b,HAT-P-9,0,0.05287,15.614,238.05467,0.084,931,1540,6350,1.34,1.28,0.418,4.29,
HD 187085 b,HD 187085,0,2.05,,238.36,0.47,,,6075,,1.22,2.13,,
TrES-1 b,TrES-1,0,0.0393,12.11,238.36,,,,5250,0.85,0.88,,4.5,
ups And b,ups And,0,0.059,,238.36,0.02,,,,,,,,
HD 124330 b,HD 124330,0,0.86,,238.37131,0.34,,,5873,,1.15,,4.24,
HD 155193 b,HD 155193,0,1.04,,238.37131,0.21,,,6239,,1.22,,4.26,
HD 360 b,HD 360,0,0.98,,238.37131,0.139,,,4770,10.86,1.69,1.742,2.59,
HAT-P-24 b,HAT-P-24,0,,14.572,238.3725,0.07,,,6373,1.38,1.37,,4.27,
HAT-P-32 b,HAT-P-32,0,0.03427,20.053,238.3725,0.044,,,6207,1.22,1.16,,,
OGLE-TR-211 b,OGLE-TR-211,0,0.05105,14.146,238.3725,,,1686,6325,1.56,1.31,,4.17,
NGTS-15 b,NGTS-15,0,0.0441,12.33,238.68913,0,425,1146,5600,0.95,0.99,,4.4,
TrES-1 b,TrES-1,0,0.03925,11.96,238.998,,,1140,5230,0.81,0.88,-0.359,4.57,
GJ 179 b,GJ 179,0,2.523,,239.00696,0.169,,,3411.78,0.38,0.39,,4.87,
OGLE-2017-BLG-1522L b,OGLE-2017-BLG-1522L,0,0.59,,240,,,,,,0.04,,,
OGLE-2018-BLG-1269L b,OGLE-2018-BLG-1269L,0,4.75,,240,,,,,,1.18,,,
OGLE-2018-BLG-1428L b,OGLE-2018-BLG-1428L,0,3.3,,240,,,,,,0.43,,,
HIP 14810 c,HIP 14810,0,0.407,,241.54,0.4091,,,5544,1.03,0.98,-0.047,4.41,
Kepler-91 b,Kepler-91,0,,14.572,241.54,0.018,,,4643.39,6.38,,,,
HAT-P-54 b,HAT-P-54,0,0.04117,10.581,241.5508,0.074,,818,4390,0.62,0.65,-0.902,4.67,
HATS-54 b,HATS-54,0,0.03763,11.96,241.5508,0.126,,1625,5702,1.32,1.1,0.212,4.24,
HAT-P-62 b,HAT-P-62,0,0.03772,12.027,241.86742,0.101,867.2,1512,5629,1.17,1.02,0.091,4.31,
HAT-P-9 b,HAT-P-9,0,0.0529,15.693,241.86863,0.16,,,6350,1.32,1.28,,,
TrES-1 b,TrES-1,0,0.03946,12.319,241.86863,,,1147,5226,0.82,0.89,,4.56,
HAT-P-33 b,HAT-P-33,0,0.0499,18.898,242.176,0,,1782,6446,1.64,1.38,0.618,,
NGTS-17 b,NGTS-17,0,0.0391,13.899,242.8209,0,1160,1457,5650,1.34,1.02,,4,
HAT-P-29 b,HAT-P-29,0,0.0665,11.926,243.77561,0.075,433,1271,6115,1.24,1.2,0.283,4.33,
HATS-51 b,HATS-51,0,0.04639,15.805,244.09344,0.33,,1553,5758,1.44,1.19,0.31,4.2,
HD 159868 c,HD 159868,0,1.032,,244.09344,0.184,,,5534,2.13,1.19,,3.92,
HD 109246 b,HD 109246,0,0.33,,244.72,0.12,,,5844,1.02,1.01,,4.46,
HD 163607 b,HD 163607,0,0.36,,244.72,0.73,,,5543,1.63,1.09,0.362,4.04,
HD 38529 b,HD 38529,0,0.13,,244.7291,0.27,,,5370,2.82,1.39,,4.13,
Kepler-68 d,Kepler-68,0,,,244.7291,0.112,,,5875.23,1.26,1.06,0.231,4.26,
V830 Tau b,V830 Tau,0,0.057,,244.7291,0,,,4250,2,1,0.08,,
HD 4208 b,HD 4208,0,1.634,,245.0457,0.059,,,5669.81,0.94,0.85,,4.42,
KMT-2016-BLG-2605L b,KMT-2016-BLG-2605L,0,0.681,,245.0457,,,,,,0.06,,,
HAT-P-29 b,HAT-P-29,0,,,245.68259,0.061,,,,,1.21,,,
K2-290 c,K2-290,0,0.305,11.276,246.00042,0,,676,6302,1.51,1.19,,4.23,
HAT-P-29 b,HAT-P-29,0,0.0667,12.408,247.261,0.095,,1260,6087,1.22,1.21,0.265,4.34,
HAT-P-9 b,HAT-P-9,0,0.0529,15.468,247.27174,,,1540,6350,1.34,1.28,,4.29,
HAT-P-9 b,HAT-P-9,0,0.053,15.69,247.9,0,,1530,6350,1.32,1.28,0.41,,
HD 192263 b,HD 192263,0,0.15,,247.9,0.22,,486,,,,,,
HD 219139 b,HD 219139,0,0.94,,247.90616,0.11,,,4831,11.22,1.46,1.795,2.48,
OGLE-TR-111 b,OGLE-TR-111,0,0.04689,11.781,247.9074,0.54,,,5040,0.83,0.85,,,
TrES-4 b,TrES-4,0,,18.046,247.9074,0,,,6200,1.66,1.08,,4.06,
WASP-17 b,WASP-17,0,,20.961,247.9074,0,,,6550,1.49,2.28,,4.2,
eps Eri b,eps Eri,0,,,247.9074,0.07,,,,,0.78,,,
HAT-P-66 b,HAT-P-66,0,0.04363,17.822,248.86089,0.09,,1896,6002,1.88,1.25,0.615,3.99,
HD 163607 b,HD 163607,0,0.362,,249.05159,0.7441,,,5522,1.76,1.12,,3.97,
55 Cnc b,55 Cnc,0,0.115,,249.17872,0.0197,,,,,0.95,,,
HIP 65407 c,HIP 65407,0,0.316,,249.17872,0.12,,,5460,,0.93,,4.47,
HD 34445 b,HD 34445,0,2.07,,250,0.27,,,5836,1.38,1.07,0.303,4.21,
OGLE-2016-BLG-1227L b,OGLE-2016-BLG-1227L,0,3.4,,250,,,,,,0.1,,,
HD 197037 b,HD 197037,0,2.07,,251,0.22,,,6150,,1.11,,4.4,
GJ 876 c,GJ 876,0,0.13065,,251.075,0.2632,,,3271,0.35,0.34,-1.893,4.87,
HAT-P-32 b,HAT-P-32,0,,,251.0857,0.2,,,,,1.16,,,
HD 163607 b,HD 163607,0,0.362,,251.0857,0.744,,,5522,1.76,1.12,0.42,,
WASP-1 b,WASP-1,0,,,251.0857,0.0082,,,,,1.27,,,
WASP-11 b,WASP-11,0,,12.442,251.0857,0,,,4800,0.89,1.42,,4.45,
TOI-169 b,TOI-169,0,0.03524,12.173,251.40353,0,1443,1715,5880,1.29,1.15,0.253,4.28,
PSR J2322-2650 b,PSR J2322-2650,0,0.0102,,252.64307,0.0017,,,,,1.4,,,
HAT-P-41 b,HAT-P-41,0,0.04258,18.887,252.67485,0.22,,,6390,1.68,1.42,,,
HD 38529 b,HD 38529,0,0.1294,,253.31051,0.28,,,5541,2.56,1.41,,3.77,
55 Cnc b,55 Cnc,0,0.113,,254.25,0,,700,,,,,,
55 Cnc b,55 Cnc,0,0.1134,,254.25,0.004,,,5250,0.96,0.9,-0.197,4.42,
HAT-P-41 b,HAT-P-41,0,0.0426,18.887,254.253,0,,1941,6390,1.68,1.42,0.628,,
HAT-P-41 b,HAT-P-41,0,,18.887,254.264,,,,6390,1.68,1.42,,,
HD 4208 b,HD 4208,0,1.7,,254.264,0.04,,,,,0.93,,,
HD 96167 b,HD 96167,0,1.35,,254.264,0.71,,,5807,1.85,1.67,,4.13,
KOI-351 g,KOI-351,0,,8.07,254.264,,,,6080,1.2,1.2,,,
WASP-187 b,WASP-187,0,0.0653,18.383,254.264,0,,,6150,2.83,1.54,,3.72,
WASP-48 b,WASP-48,0,,16.814,254.264,0,,,5920,1.58,0.88,,4.03,
Kepler-23 b,Kepler-23,0,0.075,1.9,254.3,,,,5760,1.52,1.11,0.362,4,
55 Cnc b,55 Cnc,0,0.1134,,255.4,0,,,5172,0.94,0.91,,4.43,
HD 4208 b,HD 4208,0,1.65,,255.5,0.052,,,5600,,0.87,,4.52,
WASP-92 b,WASP-92,0,0.0348,16.376,255.85315,0,,1871,6280,1.34,1.19,,4.26,
HATS-59 b,HATS-59,0,0.06112,12.621,256.17098,0.129,269,1128,5670,1.04,1.04,-0.004,4.42,
Lupus-TR-3 b,Lupus-TR-3,0,0.0464,9.976,257.431,0,,,5000,0.82,0.87,,,
HD 4208 b,HD 4208,0,1.662,,257.4423,0.042,,,5717,0.85,0.88,,4.5,
Kepler-91 b,Kepler-91,0,0.0731,15.323,257.4423,,,2040,4550,6.3,1.31,,2.95,
NGTS-1 b,NGTS-1,0,0.0326,14.908,258.07796,0.016,65.3,790,3916,0.57,0.62,,4.71,
HATS-9 b,HATS-9,0,,13.141,259.34928,,,,5494,1.58,0.96,0.312,4.02,
Gaia-2 b,Gaia-2,0,0.0467,14.818,259.66581,,,,5720,1.06,1,,,
HAT-P-52 b,HAT-P-52,0,0.03696,11.31,259.66711,0.03,,,5131,0.89,0.89,,,
WASP-78 b,WASP-78,0,0.03488,17.822,259.66711,0.092,,,6100,2.09,1.18,,,
HAT-P-52 b,HAT-P-52,0,0.03694,11.31,259.98494,0.047,,1218,5131,0.89,0.89,-0.305,4.48,
HD 134987 c,HD 134987,0,5.8,,260,0.12,,,5585,1.25,1.1,0.255,,
Kepler-65 e,Kepler-65,0,,,260,0.283,,,,1.44,1.25,,,
MOA-2007-BLG-400L b,MOA-2007-BLG-400L,0,0.72,,260,,,34,,,0.3,,,
MOA-2007-BLG-400L b,MOA-2007-BLG-400L,0,6.5,,260,,,103,,,0.3,,,
55 Cnc b,55 Cnc,0,0.1138,,260.61,0.0159,,,5250,0.96,0.9,-0.197,4.42,
GJ 179 b,GJ 179,0,2.41,,260.61,0.21,,,3370,0.38,0.36,-1.796,4.83,
GJ 849 b,GJ 849,0,2.35,,260.61,0.06,,,,,0.49,,,
HD 11506 c,HD 11506,0,0.639,,260.61,0.42,,,6030,1.35,1.12,0.337,4.23,
HD 154345 b,HD 154345,0,4.21,,260.6206,0.04,,,5468,0.85,0.71,,4.43,
HD 34445 b,HD 34445,0,2.07,,260.6206,0.27,,,5879,1.38,1.14,,4.21,
HD 4208 b,HD 4208,0,1.65,,260.6206,0.05,,,5629,0.92,0.9,,4.46,
HATS-65 b,HATS-65,0,0.04497,16.825,260.93843,0.062,1178,1634,6277,1.31,1.26,0.377,4.3,
HD 155358 c,HD 155358,0,1.02,,261,0.16,,,5900,,0.92,,4.16,
HATS-9 b,HATS-9,0,0.03048,11.938,261.57409,0.075,,,5366,1.5,1.03,,,
55 Cnc b,55 Cnc,0,0.115,,261.881,0.014,,,5250,0.96,0.9,-0.197,4.42,
HD 114729 b,HD 114729,0,2.067,,262.20975,0.079,,,5844,1.47,0.94,,4.05,
CoRoT-9 b,CoRoT-9,0,0.4027,11.624,262.52758,,,413,5625,0.94,0.96,,4.48,
WASP-74 b,WASP-74,0,0.03443,15.737,262.52758,,,1926,5984,1.54,1.19,,4.14,
WASP-98 b,WASP-98,0,0.036,12.33,263.79,0,,1180,5525,0.7,0.69,,4.58,
HIP 34222 b,HIP 34222,0,0.492,,263.79758,0.305,,,,,0.62,,,
HAT-P-30 b,HAT-P-30,0,,16.141,263.7989,0.04,,,6304,1.31,1.55,,4.36,
HAT-P-32 b,HAT-P-32,0,,19.616,263.7989,0,,,6207,1.19,1.09,,4.33,
HATS-11 b,HATS-11,0,,16.668,263.7989,,,,5871,1.46,1.06,0.359,4.13,
XO-1 b,XO-1,0,,12.778,263.7989,0,,,5750,0.88,0.88,,4.51,
55 Cnc b,55 Cnc,0,0.115227,,263.9785,0.0034,,,,,0.95,,,
WASP-16 b,WASP-16,0,0.0415,13.653,264.43456,,,1389,5630,1.09,0.98,,4.36,
HD 187085 b,HD 187085,0,2.1,,265.70588,0.251,,,6117,1.27,1.19,,4.28,
HATS-9 b,HATS-9,0,0.03048,11.938,266.02371,0.129,,1823,5366,1.5,1.03,0.23,4.09,
GJ 876 c,GJ 876,0,0.135989,,266.2,0.2531,,,,,0.37,,,
HD 38529 b,HD 38529,0,0.131,,266.64813,0.257,,,5697,,1.48,,,
55 Cnc b,55 Cnc,0,0.11339,,266.966,0.0023,,,5250,0.96,0.9,-0.197,4.42,
CoRoT-9 b,CoRoT-9,0,0.407,11.77,266.97,0.11,,,5625,0.94,0.99,,4.54,
HD 114729 b,HD 114729,0,2.08,,266.97,0.32,,,,,0.93,,,
Kepler-435 b,Kepler-435,0,0.0948,22.31,266.97,0.114,,1729,6161,3.21,1.54,1.129,3.61,
HD 136925 b,HD 136925,0,5.13,,266.97586,0.103,,,5773.19,1.19,0.88,,4.23,
55 Cnc b,55 Cnc,0,0.115,,266.9772,0.02,,,,,0.95,,,
55 Cnc b,55 Cnc,0,0.11,,266.9772,0.051,,,5200,,0.85,,4.5,
CoRoT-29 b,CoRoT-29,0,0.039,10.088,266.9772,0.12,,,5260,0.9,0.97,,,
CoRoT-31 b,CoRoT-31,0,0.0586,16.365,266.9772,0.02,,,5700,2.15,1.25,,3.85,
CoRoT-9 b,CoRoT-9,0,0.4021,11.949,266.9772,0.133,,420,5625,0.96,0.96,,4.54,
HD 179949 b,HD 179949,0,0.045,,266.9772,0.05,,,,,1.24,,,
K2-107 b,K2-107,0,0.048,16.141,266.9772,0,,1780,6030,1.78,1.3,,4.07,
K2-115 b,K2-115,0,0.1367,12.498,266.9772,0.137,,682,5560,0.88,0.83,,4.46,
TrES-1 b,TrES-1,0,,12.666,266.9772,0,,,5230,0.85,1.04,,4.57,
WASP-142 b,WASP-142,0,0.0347,17.15,266.9772,0,,2000,6010,1.64,1.33,,4.13,
Kepler-68 d,Kepler-68,0,,,267,,,,5793,1.24,1.08,,4.28,
55 Cnc b,55 Cnc,0,0.1162,,267.29369,0.0048,,,5317.89,0.96,0.97,,4.46,
TrES-4 b,TrES-4,0,,,267.93069,0.015,,,,,1.34,,,
WASP-79 b,WASP-79,0,0.0521,20.4,267.93069,0.066,,,6600,1.69,1.42,,,
CoRoT-9 b,CoRoT-9,0,0.4029,11.949,268.88418,0.134,,,5625,0.96,0.96,,,
WASP-1 b,WASP-1,0,0.03889,16.242,268.88418,0,,1812,6110,,,,4.19,
WASP-16 b,WASP-16,0,,,268.88418,0.015,,,,,0.98,,,
WASP-2 b,WASP-2,0,0.03033,11.691,269.20201,,,1281,5150,0.81,0.8,,4.53,
WASP-2 b,WASP-2,0,0.03033,11.691,269.20201,,,1281,5150,0.81,0.8,,4.53,
WASP-98 b,WASP-98,0,0.03571,12.33,269.51984,0.07,,,5550,0.7,0.69,,,
HD 155358 b,HD 155358,0,0.64,,270,0.17,,,5900,,0.92,,4.16,
KMT-2017-BLG-1146L b,KMT-2017-BLG-1146L,0,1.7,,270,,,,,,0.4,,,
OGLE-2012-BLG-0026L c,OGLE-2012-BLG-0026L,0,4.8,,270,,,,,,1.06,,,
HD 148156 b,HD 148156,0,2.45,,270.144,0.52,,,6308,1.21,1.22,0.25,4.56,
CoRoT-29 b,CoRoT-29,0,0.0386,10.088,270.1555,0.082,,,5260,0.9,0.97,,4.3,
HATS-11 b,HATS-11,0,0.04614,16.926,270.1555,0.34,,1637,6060,1.44,1,0.403,4.12,
Kepler-435 b,Kepler-435,0,0.0949,22.306,270.1555,0.18,,,6090,3.21,1.54,,,
WASP-26 b,WASP-26,0,,13.563,270.1555,0,,,6034,1.22,0.86,,4.44,
WASP-41 b,WASP-41,0,,12.33,270.1555,0,,,5545,0.83,0.81,,4.53,
WASP-79 b,WASP-79,0,0.0519,17.15,270.1555,0,,1716,6600,1.51,1.39,,4.23,
WASP-79 b,WASP-79,0,,18.719,270.1555,0,,,6600,1.6,1.43,,4.2,
HAT-P-13 b,HAT-P-13,0,,14.258,270.462,0.0133,,,,,,,,
TOI-1478 b,TOI-1478,0,0.0903,11.882,270.47333,0.024,,918,5597,1.05,0.95,-0.013,4.37,
HD 38529 b,HD 38529,0,0.1313,,270.8,0.248,,,5541,2.84,0.98,0.834,3.52,
HAT-P-13 b,HAT-P-13,0,0.0427,14.359,271.098,0.021,,1653,5653,1.56,1.22,0.346,4.13,
WASP-1 b,WASP-1,0,0.03889,16.623,271.415,0,,,,1.47,1.24,0.441,,
WASP-176 b,WASP-176,0,0.0535,16.87,271.74465,0,,1721,5941,1.93,1.34,,4,
WASP-16 b,WASP-16,0,0.0421,11.3,272,0,,,5700,0.95,1.02,,,
HD 38529 b,HD 38529,0,0.1313,,272.06248,0.244,,,5541,2.84,0.98,0.834,3.52,
WASP-59 b,WASP-59,0,0.0697,8.687,272.38031,0.12,,,4650,0.61,0.72,,,
KELT-8 b,KELT-8,0,0.0455,20.849,272.69814,0.047,,,5754,1.67,1.21,,,
24 Sex c,24 Sex,0,2.08,,273.32,0.29,,,5098,4.9,1.54,1.164,3.5,
GJ 876 c,GJ 876,0,0.132,,273.32,0.265,,,,,0.33,-1.886,,
HD 37124 b,HD 37124,0,0.54,,273.32,0.1,,,,,0.91,,,
HAT-P-32 b,HAT-P-32,0,0.0343,20.053,273.322,0,,1786,6207,1.22,1.16,0.294,,
HAT-P-32 b,HAT-P-32,0,,20.131,273.3338,,,1779,,1.22,1.16,,,
HAT-P-45 b,HAT-P-45,0,0.04521,15.984,273.3338,0.11,,,6330,1.32,1.26,,,
HD 109246 b,HD 109246,0,0.33,,273.3338,0.12,,,5844,1.07,1.2,,4.46,
K2-238 b,K2-238,0,0.046,14.572,273.3338,0,,1587,5630,1.59,1.19,,4.11,
WASP-1 b,WASP-1,0,0.03898,16.634,273.3338,,,1800,6110,1.46,1.24,,4.21,
WASP-78 b,WASP-78,0,0.0367,23.091,273.3338,0,,2470,6100,2.35,1.39,,3.84,
WASP-59 b,WASP-59,0,0.0697,8.687,274.276,0.1,,670,4650,0.61,0.72,,4.72,
HD 13908 b,HD 13908,0,0.154,,274.91,0.02,,,6255,1.67,1.29,0.602,4.11,
WASP-2 b,WASP-2,0,0.0307,12.072,275.24078,0.07,,,5150,0.82,0.84,,4.4,
KELT-8 b,KELT-8,0,0.04571,20.849,275.55861,0.035,,1675,5754,1.67,1.21,,4.08,
WASP-44 b,WASP-44,0,0.03443,10.985,275.55861,0,,1304,5410,,,,4.48,
7 CMa c,7 CMa,0,2.153,,276.5121,0.08,,,4826,4.87,1.34,1.063,3.19,
HD 17674 b,HD 17674,0,1.42,,276.5121,0.13,,,5904,1.18,0.98,,4.34,
WASP-44 b,WASP-44,0,0.03453,12.33,276.5121,,533,1337,5420,0.91,0.94,-0.198,4.49,
CoRoT-12 b,CoRoT-12,0,0.0392,15.065,277.46559,,,1417,,1.05,1,0.07,4.38,
HD 38529 b,HD 38529,0,0.1329,,278.41768,0.26,,,5624.21,2.86,1.53,,3.71,
TrES-4 b,TrES-4,0,0.04965,20.288,278.73691,,,1861,6200,1.92,1.29,,3.98,
WASP-44 b,WASP-44,0,0.03474,12.778,279.05474,0.068,,,5400,0.93,0.95,,,
WASP-23 b,WASP-23,0,0.037,10.783,279.37257,0.065,,,5150,0.77,0.78,,,
Kepler-91 b,Kepler-91,0,0.072,15.513,279.68,0.066,,,4550,6.3,1.31,1.225,2.95,
WASP-2 b,WASP-2,0,0.0307,10.705,279.68,,,,5200,0.78,0.79,,4.3,
HAT-P-29 b,HAT-P-29,0,,13.115,279.6904,0.09,,,6087,1.3,1.45,,4.34,
HAT-P-42 b,HAT-P-42,0,0.0575,14.348,279.6904,0.11,,,5743,1.53,1.18,,,
HATS-31 b,HATS-31,0,0.0478,18.383,279.6904,0.233,,1823,6050,1.87,1.27,0.619,4,
TOI-640 b,TOI-640,0,0.06608,19.851,279.6904,0.05,,1749,6460,2.08,1.54,0.834,3.99,
WASP-2 b,WASP-2,0,0.03092,11.915,279.6904,,,1286,5170,0.82,0.85,,4.54,
OGLE-2011-BLG-0265L b,OGLE-2011-BLG-0265L,0,1.89,,280,,,,,,0.21,,,
HAT-P-13 b,HAT-P-13,0,0.0427,14.359,280.64389,0.013,,,5653,1.56,1.22,,,
WASP-23 b,WASP-23,0,0.0376,10.783,280.95,0.062,,,5150,0.77,0.78,,,
Kepler-46 b,Kepler-46,0,0.1971,9.079,281.27955,0.0321,,,5155,0.94,0.9,-0.255,4.45,
GJ 876 c,GJ 876,0,0.134,,281.74197,0.25,,,3271,0.35,0.34,-1.893,4.87,
CoRoT-12 b,CoRoT-12,0,0.0394,15.132,281.91521,,,1410,5675,1.05,1.02,,4.41,
WASP-44 b,WASP-44,0,0.03473,12.778,282.539,0,,,5410,0.93,0.95,,,
WASP-28 b,WASP-28,0,0.0442,13.664,282.54945,0,,1456,,1.08,0.99,,,
WASP-78 b,WASP-78,0,0.0362,19.055,282.857,0,,2350,6100,2.2,1.33,,3.88,
WASP-58 b,WASP-58,0,0.0561,15.36,282.86,0,,1270,5800,1.17,0.94,,4.27,
HD 128356 b,HD 128356,0,0.87,,282.8687,0.57,,,4875,0.85,0.65,-0.444,4.52,
WASP-1 b,WASP-1,0,0.0382,21.633,282.8687,0,,,6200,1.24,1.15,,4.3,
WASP-145 A b,WASP-145 A,0,0.0261,10.088,282.8687,0,,1200,4900,0.68,0.76,,4.65,
GJ 849 b,GJ 849,0,2.409,,283.18511,0.05,,,3562.68,0.47,0.5,,4.79,
HAT-P-45 b,HAT-P-45,0,0.0452,15.984,283.492,0.049,,1652,6330,1.32,1.26,0.4,4.3,
HD 114729 b,HD 114729,0,2.094,,283.50294,0.098,,,5755.82,1.65,0.96,,3.98,
HD 200964 c,HD 200964,0,1.95,,284.446,0.181,,,5164,4.3,1.44,1.064,3.6,
TrES-4 b,TrES-4,0,0.0502,19.448,285.09351,,,1805,6200,1.83,1.34,,4.04,
WASP-28 b,WASP-28,0,0.0445,15.177,285.717,,,1473,6084,1.12,1.01,,4.34,
HAT-P-13 b,HAT-P-13,0,,,285.72917,0.0133,,,,,1.32,,,
HAT-P-13 b,HAT-P-13,0,0.04383,16.668,285.72917,0.007,,,,1.76,1.32,,,
WASP-123 b,WASP-123,0,0.04263,14.773,285.72917,0,,1520,5740,1.28,1.17,,4.29,
WASP-58 b,WASP-58,0,0.0562,15.356,285.72917,0.044,,,5800,1.17,0.94,,,
HD 96063 b,HD 96063,0,0.99,,286,0.03,,,5148,4.5,1.02,1.104,3.6,
WASP-79 b,WASP-79,0,0.0535,23.43,286.03,0,,1900,6600,1.91,1.52,,4.06,
GJ 849 b,GJ 849,0,,,286.04557,,,,,,0.49,,,
OGLE-TR-56 b,OGLE-TR-56,0,0.0225,14.572,286.047,0,,,5900,1.1,1.04,,,
WASP-180 A b,WASP-180 A,0,0.048,13.899,286.047,0,,1540,6600,1.19,1.3,,4.42,
XO-1 b,XO-1,0,,13.271,286.047,,,1100,,0.93,1,,,
XO-1 b,XO-1,0,0.0488,14.572,286.047,,,,5750,1,1,,4.43,
KELT-4 A b,KELT-4 A,0,0.04317,19.044,286.68266,0,1840,1823,6206,1.6,1.2,0.535,4.11,
Kepler-56 c,Kepler-56,0,,9.8,286.8,,,,,4.23,1.32,,,
HD 154345 b,HD 154345,0,4.272,,287.63471,0.038,,,5490.62,0.87,0.89,,4.51,
HAT-P-13 b,HAT-P-13,0,0.0431,16.668,287.95398,0.0133,,1740,5653,,,,4.13,
WASP-28 b,WASP-28,0,0.04465,13.597,287.95398,0.058,,,6150,1.09,1.02,,,
WASP-48 b,WASP-48,0,0.0332,15.65,288,0,,1956,6000,1.52,1.06,,4.1,
WASP-28 b,WASP-28,0,0.04469,13.597,288.26,0,,1468,6150,1.09,1.02,,4.37,
WASP-16 b,WASP-16,0,0.0422,11.299,288.58964,0.018,,,5700,0.95,1.02,,,
55 Cnc b,55 Cnc,0,0.115,,289.21,0.03,,,,,,,,
GJ 849 b,GJ 849,0,2.32,,289.21,0.05,,,,,0.49,-1.553,,
24 Boo b,24 Boo,0,0.19,,289.2253,0.042,,,4893,10.64,0.99,1.774,2.42,
BD+48 738 b,BD+48 738,0,1,,289.2253,0.2,,,4414,11,0.74,1.69,2.24,
KELT-15 b,KELT-15,0,0.04613,16.175,289.2253,0,,1642,6003,1.48,1.18,0.412,4.17,
GJ 849 b,GJ 849,0,2.39,,289.531,0.038,,,3407,0.46,0.46,-1.583,4.77,
XO-1 b,XO-1,0,0.0493,13.518,290.17879,0.019,,,5750,0.93,1.03,,,
WASP-2 b,WASP-2,0,0.03138,12.52,290.484,,,1300,5200,0.84,0.89,,,
WASP-2 b,WASP-2,0,0.03138,12.005,290.802,,,1304,5200,0.84,0.89,-0.328,4.54,
CoRoT-12 b,CoRoT-12,0,0.04013,16.141,290.81445,0.05,,,5675,1.12,1.08,,,
HD 25171 b,HD 25171,0,2.971,,290.81445,0.042,,,6125,1.23,1.08,,4.26,
HD 179949 b,HD 179949,0,0.0443,,291.12,0.022,,,6168,,1.21,,4.34,
CoRoT-12 b,CoRoT-12,0,0.04016,16.14,291.438,0.07,,1442,5675,1.12,1.08,,4.38,
HD 285507 b,HD 285507,0,,,291.438,0.086,,,4503,0.66,0.73,,4.67,
TrES-4 b,TrES-4,0,0.05084,19.123,291.45011,0,,1778,6200,,,,4.06,
WASP-1 b,WASP-1,0,0.03957,16.97,291.76794,,,1811,,1.52,1.3,0.459,,
