Name,starName,controversial,orbitalPeriod,planetSemimajor,planetEarthRads,earthMass,stellarEffTemp,stellarRadius,distance
WASP-58 b,WASP-58,0,5.01718,0.0562,15.356,285.72917,5800,1.17,290.404
WASP-59 b,WASP-59,0,7.919585,0.0697,8.687,272.38031,4650,0.61,115.936
WASP-59 b,WASP-59,0,7.919585,0.0697,8.687,274.276,4650,0.61,115.936
WASP-6 b,WASP-6,0,3.36100208,0.0414,13.787,154.14755,5375,0.86,197.119
WASP-6 b,WASP-6,0,3.36100239,0.04217,13.72,153.51189,5450,0.87,197.119
WASP-6 b,WASP-6,0,3.361006,0.0421,13.72,160,5450,0.87,197.119
WASP-60 b,WASP-60,0,4.3050011,0.05311,9.64,160.50415,5900,1.14,431.052
WASP-60 b,WASP-60,0,4.305004,0.05548,13.731,177.9848,6105,1.4,431.052
WASP-60 b,WASP-60,0,4.3050011,0.0531,9.64,163.358,5900,1.14,431.052
WASP-61 b,WASP-61,0,3.8559,0.0514,13.899,654.702,6320,1.36,488.66
WASP-61 b,WASP-61,0,3.8559,0.05146,13.899,651.5515,6250,1.36,488.66
WASP-61 b,WASP-61,0,3.855898,0.0521,13.563,654.7298,6250,1.39,488.66
WASP-62 b,WASP-62,0,4.41194,0.0571,15.02,184.3414,6230,1.29,175.631
WASP-62 b,WASP-62,0,4.411953,0.0567,15.581,181.155,6280,1.28,175.631
WASP-62 b,WASP-62,0,4.411953,0.05672,15.581,180.52744,6230,1.28,175.631
WASP-63 b,WASP-63,0,4.37809,0.05417,14.908,107.74437,5550,1.76,290.684
WASP-63 b,WASP-63,0,4.37809,0.0574,16.029,120.77,5570,1.88,290.684
WASP-64 b,WASP-64,0,1.5732918,0.02652,14.247,388.07043,5550,1.06,369.926
WASP-64 b,WASP-64,0,1.5732918,0.02648,14.247,403.945,5400,1.06,369.926
WASP-65 b,WASP-65,0,2.3114243,0.0334,12.464,489.4582,5600,1.01,273.703
WASP-65 b,WASP-65,0,2.3114243,0.0334,12.464,492.62,5600,1.01,273.703
WASP-66 b,WASP-66,0,4.086052,0.0546,15.581,737.3656,6600,1.75,500.258
WASP-66 b,WASP-66,0,4.086052,0.05461,15.581,753.2571,6600,1.75,500.258
WASP-66 b,WASP-66,0,4.086052,0.0546,15.581,737.335,6580,1.75,500.258
WASP-67 b,WASP-67,0,4.6144109,0.05179,15.693,133.4886,5200,0.87,189.469
WASP-67 b,WASP-67,0,4.61442,0.0517,15.693,133.483,5240,0.87,189.469
WASP-68 b,WASP-68,0,5.084298,0.06206,13.9,301.93,5911,1.69,226.399
WASP-68 b,WASP-68,0,5.084298,0.06219,13.899,304.16331,5910,1.69,226.399
WASP-69 b,WASP-69,0,3.8681382,0.04527,11.848,79.4575,4700,0.81,49.9605
WASP-69 b,WASP-69,0,3.8681382,0.04525,9.113,82.632,4715,0.81,49.9605
WASP-69 b,WASP-69,0,3.8681382,0.04525,11.848,82.6358,4700,0.81,49.9605
WASP-7 b,WASP-7,0,4.9546416,0.0624,15.401,311.4734,6520,1.48,162.303
WASP-7 b,WASP-7,0,4.9546416,0.0617,14.908,305.1168,6400,1.43,162.303
WASP-7 b,WASP-7,0,4.954658,0.0618,10.256,305.1168,6400,1.24,162.303
WASP-7 b,WASP-7,0,4.9546416,0.06188,15.278,344.20989,6400,1.47,162.303
WASP-7 b,WASP-7,0,4.9546416,0.0619,15.278,305.1168,6400,1.47,162.303
WASP-70 A b,WASP-70 A,0,3.7130203,0.04855,13.047,189.74451,5700,1.22,222.355
WASP-70 A b,WASP-70 A,0,3.7130203,0.04853,13.047,187.512,5763,1.22,222.355
WASP-71 b,WASP-71,0,2.9036747,0.04622,16.365,706.21826,6050,2.26,362.715
WASP-71 b,WASP-71,0,2.9036747,0.04619,16.37,712.545,6059,2.26,362.715
WASP-72 b,WASP-72,0,2.2167421,0.03711,14.235,459.58218,6250,1.98,434.754
WASP-72 b,WASP-72,0,2.2167421,0.03708,14.24,491.3763,6250,1.98,434.754
WASP-73 b,WASP-73,0,4.08722,0.05517,13.002,597.20257,6030,2.07,316.678
WASP-73 b,WASP-73,0,4.08722,0.05512,13.002,597.5,6036,2.07,316.678
WASP-74 b,WASP-74,0,2.13775,0.037,17.486,301.9385,5970,1.64,149.216
WASP-74 b,WASP-74,0,2.1377445,0.03443,15.737,262.52758,5984,1.54,149.216
WASP-74 b,WASP-74,0,2.13775,0.03705,17.486,300.03152,5990,1.64,149.216
WASP-75 b,WASP-75,0,2.484193,0.03751,14.235,341.03159,6100,1.26,294.001
WASP-75 b,WASP-75,0,2.484193,0.0375,14.235,340.06,6100,1.26,294.001
WASP-76 b,WASP-76,0,1.809886,0.033,20.512,292.4036,6250,1.73,194.459
WASP-77 A b,WASP-77 A,0,1.3600309,0.024,13.56,559.36,5500,0.95,105.166
WASP-77 A b,WASP-77 A,0,1.36002854,0.02335,13.787,529.81995,5617,0.91,105.166
WASP-77 A b,WASP-77 A,0,1.3600309,0.02405,13.563,560.33429,5500,0.95,105.166
WASP-78 b,WASP-78,0,2.175173,0.0367,23.091,273.3338,6100,2.35,754.258
WASP-78 b,WASP-78,0,2.1751763,0.03488,17.822,259.66711,6100,2.09,754.258
WASP-78 b,WASP-78,0,2.17517632,0.0362,19.055,282.857,6100,2.2,754.258
WASP-79 b,WASP-79,0,3.6623866,0.0535,23.43,286.03,6600,1.91,246.69
WASP-79 b,WASP-79,0,3.6623866,0.0521,20.4,267.93069,6600,1.69,246.69
WASP-79 b,WASP-79,0,3.662392,0.0519,17.15,270.1555,6600,1.51,246.69
WASP-8 b,WASP-8,0,8.158715,0.0801,11.635,713.18,5600,0.94,89.9606
WASP-8 b,WASP-8,0,8.158715,0.0801,11.635,677.61356,5600,0.94,89.9606
WASP-80 b,WASP-80,0,3.06785234,0.0344,11.198,170.99254,4143,0.59,49.7876
WASP-80 b,WASP-80,0,3.06785952,0.03427,10.671,171.6282,4150,0.57,49.7876
WASP-80 b,WASP-80,0,3.0678504,0.0346,10.671,176.07,4145,0.57,49.7876
WASP-81 b,WASP-81,0,2.7164762,0.03908,16.018,231.69807,5870,1.28,398.505
WASP-82 b,WASP-82,0,2.705782,0.0447,18.719,394.1092,6490,2.18,275.664
WASP-82 b,WASP-82,0,2.705785,0.0448,19.17,397.27,6480,2.22,275.664
WASP-83 b,WASP-83,0,4.971252,0.059,11.657,96.93815,5480,1.05,271.103
WASP-83 b,WASP-83,0,4.971252,0.059,11.657,95.349,5510,1.05,271.103
WASP-84 b,WASP-84,0,8.5234865,0.0771,10.559,220.57402,5300,0.75,100.588
WASP-84 b,WASP-84,0,8.5234962,0.0775,10.94,218.34921,5280,0.77,100.588
WASP-84 b,WASP-84,0,8.5234865,0.0771,10.559,220.565,5314,0.75,100.588
WASP-85 A b,WASP-85 A,0,2.6556777,0.039,13.899,402.05495,6112,0.94,141.887
WASP-87 b,WASP-87,0,1.682795,0.02946,15.524,692.8694,6450,1.63,298.392
WASP-88 b,WASP-88,0,4.954,0.06431,19.055,177.98,6431,2.08,523.756
WASP-88 b,WASP-88,0,4.954,0.06438,19.055,181.1631,6430,2.08,523.756
WASP-89 b,WASP-89,0,3.3564227,0.0427,11.657,1875.197,5130,0.88,290.946
WASP-89 b,WASP-89,0,3.3564227,0.0428,11.657,1843.414,5000,0.88,290.946
WASP-90 b,WASP-90,0,3.916243,0.0562,18.271,200.2329,6430,1.98,466.433
WASP-91 b,WASP-91,0,2.798581,0.037,11.545,425.8922,4920,0.86,149.942
WASP-92 b,WASP-92,0,2.1746742,0.0348,16.376,255.85315,6280,1.34,575.889
WASP-93 b,WASP-93,0,2.7325321,0.04211,17.901,467.2101,6700,1.52,370.284
