Name,starName,controversial,solution,orbitalPeriod,planetSemimajor,planetEarthRads,earthMass,stellarEffTemp,stellarRadius,distance
2MASS J12073346-3932539 b,2MASS J12073346-3932539,0,Published Confirmed,0,,46,,1271,2825,0.22
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,Published Confirmed,0,,55,,1589.15,,
2MASS J19383260+4603591 b,2MASS J19383260+4603591,1,Published Confirmed,0,406,,,,29564,0.2
2MASS J19383260+4603591 b,2MASS J19383260+4603591,0,Published Confirmed,0,416,0.92,,603.877,,
2MASS J21402931+1625183 A b,2MASS J21402931+1625183 A,1,Published Confirmed,0,7336.5,,10.31,6657.48,2300,0.12
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,Published Confirmed,0,,230,,3972.875,4045,
30 Ari B b,30 Ari B,0,Published Confirmed,0,345.4,1.01,,,,1.13
30 Ari B b,30 Ari B,0,Published Confirmed,0,335.1,0.995,,,6300,1.13
30 Ari B b,30 Ari B,1,Published Confirmed,0,335.10001,0.99,,,6331,1.41
4 UMa b,4 UMa,1,Published Confirmed,0,269.3,0.87,,,4415,18.11
42 Dra b,42 Dra,1,Published Confirmed,0,479.1,1.19,,,4200,22.03
47 UMa b,47 UMa,0,Published Confirmed,0,1083.2,2.11,,,,
47 UMa b,47 UMa,0,Published Confirmed,0,1100.8,2.11,,,,
47 UMa b,47 UMa,1,Published Confirmed,0,1078,2.1,,,5872,1.21
47 UMa b,47 UMa,0,Published Confirmed,0,1076.6,2.059,,,5829.16,1.14
47 UMa b,47 UMa,0,Published Confirmed,0,1076.6,2.1,,,5882,
47 UMa c,47 UMa,0,Published Confirmed,0,7586,7.73,,,,
47 UMa c,47 UMa,0,Published Confirmed,0,2287,3.404,,,5829.16,1.14
47 UMa c,47 UMa,1,Published Confirmed,0,2391,3.6,,,5872,1.21
47 UMa d,47 UMa,1,Published Confirmed,0,14002,11.6,,,5872,1.21
47 UMa d,47 UMa,0,Published Confirmed,0,19000,13.8,,,5829.16,1.14
51 Eri b,51 Eri,0,Published Confirmed,0,14965,14,,,7295,1.49
51 Eri b,51 Eri,1,Published Confirmed,0,,13.2,,635.66,,
51 Eri b,51 Eri,0,Published Confirmed,0,11688,12,,,7295,1.49
51 Peg b,51 Peg,1,Published Confirmed,0,4.230785,0.0527,,,5758,1.18
51 Peg b,51 Peg,0,Published Confirmed,0,4.23077,0.052,,,,
51 Peg b,51 Peg,0,Published Confirmed,0,4.2293,,,,5773,1.29
51 Peg b,51 Peg,0,Published Confirmed,0,4.2307969,0.05235,,,5760.76,1.19
51 Peg b,51 Peg,0,Published Confirmed,0,4.231,0.052,,146.2018,,
55 Cnc b,55 Cnc,0,Published Confirmed,0,14.65126,0.1138,,,5250,0.96
55 Cnc b,55 Cnc,0,Published Confirmed,0,14.648,0.11,,,5200,
55 Cnc b,55 Cnc,0,Published Confirmed,0,14.6,0.113,,254.25,,
55 Cnc b,55 Cnc,0,Published Confirmed,0,14.65162,0.115,,,5250,0.96
55 Cnc b,55 Cnc,0,Published Confirmed,0,14.651,0.1134,,,5250,0.96
55 Cnc b,55 Cnc,0,Published Confirmed,0,14.647,0.115,,,,
55 Cnc b,55 Cnc,0,Published Confirmed,0,14.465314,0.11339,,266.966,5250,0.96
55 Cnc b,55 Cnc,0,Published Confirmed,0,14.65152,0.115227,,263.9785,,
55 Cnc b,55 Cnc,0,Published Confirmed,0,14.653,0.115,,,,
55 Cnc b,55 Cnc,0,Published Confirmed,0,14.65171,0.1162,,,5317.89,0.96
55 Cnc b,55 Cnc,0,Published Confirmed,0,14.67,0.115,,,,
55 Cnc b,55 Cnc,1,Published Confirmed,0,14.6516,0.1134,,,5172,0.94
55 Cnc c,55 Cnc,0,Published Confirmed,0,44.3446,0.24,,,5250,0.96
55 Cnc c,55 Cnc,0,Published Confirmed,0,44.3827,0.2432,,,5317.89,0.96
55 Cnc c,55 Cnc,1,Published Confirmed,0,44.3989,0.2373,,,5172,0.94
55 Cnc c,55 Cnc,0,Published Confirmed,0,44.3787,0.238,,,5250,0.96
55 Cnc c,55 Cnc,0,Published Confirmed,0,44.38,0.237,,,5250,0.96
