,Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,eccentricity,earthFlux,equilTemp,stellarEffTemp,stellarRadius,stellarMass,luminosity,stLogSurfaceGrav,Unnamed: 14,calculatedEqEarthTemp,calculatedEqVenusTemp,calculatedEqMarsTemp,calculatedEqTitanTemp,calculatedSurfaceEarthTemp,calculatedSurfaceVenusTemp,calculatedSurfaceMarsTemp,calculatedSurfaceTitanTemp,similarityToTitan
3497,kap CrB b,kap CrB,0,2.8,,667.443,0.125,,,4871.0,4.84,,,,,,,,,,,,,6.741921492581238e-05
3498,WASP-46 b,WASP-46,0,0.02448,14.684,667.733,0.0,,,5620.0,0.92,0.96,,,,,,,,,,,,6.73899353881291e-05
3499,GJ 876 b,GJ 876,0,0.21,,670.59,0.27,,,3271.0,0.35,0.34,-1.893,4.87,,(40.278109075722185+40.278109075722185j),(30.832063386278765+30.832063386278765j),(40.993509050398536+40.993509050398536j),(40.7869860635368+40.7869860635368j),(520.4616363105043+520.4616363105043j),(1115.6835204119423+1115.6835204119423j),(478.0613021850896+478.0613021850896j),(615.3228517366159+615.3228517366159j),6.710283509492321e-05
3500,HD 30856 b,HD 30856,0,2.04,,670.6213,0.12,,,4971.0,4.73,1.65,,3.31,,,,,,,,,,6.709970330009973e-05
3501,HD 8574 b,HD 8574,0,0.77,,670.6213,0.288,,,6031.0,1.41,1.12,0.376,4.19,,(19.85901317905071+0j),(15.201665797526228+0j),(20.211739209428178+0j),(20.10991360708538+0j),(256.6122077689735+0j),(550.0847543229208+0j),(235.70683724599883+0j),(303.38327449870286+0j),6.709970330009973e-05
3502,HD 89307 b,HD 89307,0,3.27,,670.6213,0.2,,,5955.0,1.1,1.27,,4.46,,,,,,,,,,6.709970330009973e-05
3503,Kepler-5 b,Kepler-5,0,0.0538,15.984,670.93913,,,1750.0,6297.0,1.79,1.37,,3.96,,,,,,,,,,6.706791862309824e-05
3504,Kepler-5 b,Kepler-5,0,0.05064,16.04,671.864,0.024,,1868.0,6297.0,1.79,1.37,0.669,4.07,,(89.4366958609247+0j),(68.46194965754916+0j),(91.0252264901495+0j),(90.56664653224934+0j),(1155.674140175538+0j),(2477.351841531045+0j),(1061.525088132228+0j),(1366.3114781179147+0j),6.697559781310147e-05
3505,GJ 876 b,GJ 876,0,0.2177,,672.20708,0.002,,,3293.74,0.37,0.37,,4.87,,,,,,,,,,6.694141605623205e-05
3506,HD 22532 b,HD 22532,0,1.9,,673.79622,0.03,,,5038.0,5.69,1.57,1.274,3.09,,(17.15227068911173+0j),(13.129710138852193+0j),(17.45692088988366+0j),(17.36897390688312+0j),(221.63649372201144+0j),(475.1093381645704+0j),(203.58048203435615+0j),(262.0327606328516+0j),6.678354083133886e-05
3507,HD 222155 b,HD 222155,0,5.14,,673.7996,0.16,,,5701.0,1.85,1.21,,3.99,,,,,,,,,,6.678320583441977e-05
3508,Kepler-40 b,Kepler-40,0,0.0795,14.235,673.7996,,,1666.0,6510.0,2.24,1.42,,3.89,,,,,,,,,,6.678320583441977e-05
3509,HD 147018 b,HD 147018,0,0.2388,,674.0,0.4686,,,5441.0,,0.93,,4.42,,,,,,,,,,6.676334988831023e-05
3510,Kepler-5 b,Kepler-5,0,0.05071,16.04,675.70658,0.043,,,6297.0,1.79,1.37,,,,,,,,,,,,6.659473645864722e-05
3511,HR 810 b,HR 810,0,0.91,,676.9779,0.15,,,,,1.03,,,,,,,,,,,,6.646968007706366e-05
3512,WASP-164 b,WASP-164,0,0.02818,12.644,676.9779,0.0,,1610.0,5806.0,0.93,0.95,,,,,,,,,,,,6.646968007706366e-05
3513,HD 118203 b,HD 118203,0,0.07,,677.0,0.309,,,5600.0,,1.23,,3.87,,,,,,,,,,6.646751031180731e-05
3514,WASP-53 b,WASP-53,0,0.04101,12.038,677.61356,0.03,,1053.0,4953.0,0.8,0.84,-0.463,4.55,,(64.0975501257359+64.0975501257359j),(49.06535519496543+49.06535519496543j),(65.23601930388328+65.23601930388328j),(64.90736391746479+64.90736391746479j),(828.2493043359665+828.2493043359665j),(1775.470150289813+1775.470150289813j),(760.7744996761355+760.7744996761355j),(979.2090104962637+979.2090104962637j),6.640732785101466e-05
3515,WASP-8 b,WASP-8,0,0.0801,11.635,677.61356,0.3057,,,5600.0,0.94,1.03,,,,,,,,,,,,6.640732785101466e-05
3516,HD 136418 b,HD 136418,0,1.29,,680.1562,0.25,,,4989.0,3.78,1.48,,3.45,,,,,,,,,,6.615908437013207e-05
3517,HAT-P-22 b,HAT-P-22,0,0.0414,12.106,682.352,0.016,,1283.0,5302.0,1.04,0.92,-0.114,4.36,,(44.93834869813736+44.93834869813736j),(34.399380887788766+34.399380887788766j),(45.73652155824371+45.73652155824371j),(45.50610354183867+45.50610354183867j),(580.67985397612+580.67985397612j),(1244.7698322376707+1244.7698322376707j),(533.3737355021049+533.3737355021049j),(686.5166589942885+686.5166589942885j),6.594619230360088e-05
3518,HAT-P-31 b,HAT-P-31,0,0.061,11.994,682.38101,0.2617,,,6070.0,1.36,1.22,,,,,,,,,,,,6.594338883170181e-05
3519,HAT-P-22 b,HAT-P-22,0,0.0414,12.106,682.69884,0.016,,1463.0,5302.0,,,,4.36,,,,,,,,,,6.59126899418272e-05
3520,Kepler-323 b,Kepler-323,0,,1.67,684.4,,,,,1.38,1.12,,,,,,,,,,,,6.574886126631263e-05
3521,HAT-P-22 b,HAT-P-22,0,,,685.55931,0.0064,,,,,0.92,,,,,,,,,,,,6.563768078982068e-05
3522,HD 163607 c,HD 163607,0,2.38,,686.5128,0.076,,,5522.0,1.76,1.12,0.42,,,(11.612611833976205+0j),(8.889215317240797+0j),(11.818869337185568+0j),(11.75932653996264+0j),(150.05468468213124+0j),(321.6635524709187+0j),(137.83021255252675+0j),(177.40419284229995+0j),6.554652033197161e-05
3523,Kepler-40 b,Kepler-40,0,0.0802,16.141,686.5128,,,1744.0,6510.0,2.48,1.46,,3.81,,,,,,,,,,6.554652033197161e-05
