,Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,eccentricity,earthFlux,equilTemp,stellarEffTemp,stellarRadius,stellarMass,luminosity,stLogSurfaceGrav,Unnamed: 14,calculatedEqEarthTemp,calculatedEqVenusTemp,calculatedEqMarsTemp,calculatedEqTitanTemp,calculatedSurfaceEarthTemp,calculatedSurfaceVenusTemp,calculatedSurfaceMarsTemp,calculatedSurfaceTitanTemp,similarityToTitan
1840,MOA-bin-29 b,MOA-bin-29,0,0.37,,150.0,,,,,,0.02,,,,,,,,,,,,0.00029995500674906417
1841,OGLE-2012-BLG-0724L b,OGLE-2012-BLG-0724L,0,1.6,,150.0,,,,,,0.29,,,,,,,,,,,,0.00029995500674906417
1842,OGLE-2012-BLG-0724L b,OGLE-2012-BLG-0724L,0,1.6,,150.0,,,,,,0.29,,,,,,,,,,,,0.00029995500674906417
1843,OGLE-2014-BLG-0124L b,OGLE-2014-BLG-0124L,0,2.97,,150.0,,,,,,0.65,,,,,,,,,,,,0.00029995500674906417
1844,51 Peg b,51 Peg,0,0.0527,,150.009,0.013,,,5758.0,1.18,1.03,0.136,4.31,,(58.86884090288027+0j),(45.062885916071785+0j),(59.91444031798618+0j),(59.612594746400504+0j),(760.6854931152563+0j),(1630.6375142293934+0j),(698.7148946652284+0j),(899.330775302538+0j),0.0002999370132272805
1845,HD 99109 b,HD 99109,0,1.122,,150.65066,0.06,,,5323.91,0.99,0.97,,4.44,,,,,,,,,,0.0002986596949318132
1846,WASP-113 b,WASP-113,0,0.05885,15.793,150.96925,0.0,,1496.0,5890.0,1.61,1.32,,4.2,,,,,,,,,,0.0002980295281034273
1847,WASP-13 b,WASP-13,0,0.05362,15.569,151.599,0.0,,,,1.56,1.09,,,,,,,,,,,,0.0002967916819185401
1848,WASP-17 b,WASP-17,0,0.05125,21.656,151.60491,0.0,,1755.0,,1.58,1.29,,4.15,,,,,,,,,,0.0002967801138330506
1849,WASP-31 b,WASP-31,0,0.04659,17.363,151.916,0.0,,,6302.0,1.25,1.16,,,,,,,,,,,,0.0002961724645169639
1850,CoRoT-5 b,CoRoT-5,0,0.04963,15.558,151.92274,0.087,,,6100.0,1.19,1.0,,,,,,,,,,,,0.00029615932687343527
1851,WASP-31 b,WASP-31,0,0.04657,17.228,151.92274,0.0,,,6300.0,1.24,1.16,,,,,,,,,,,,0.00029615932687343527
1852,BD-10 3166 b,BD-10 3166,0,0.046,,152.55,0.05,,,5400.0,,1.1,,4.4,,,,,,,,,,0.0002949417490046846
1853,HD 114613 b,HD 114613,0,5.16,,152.55,0.25,,,5729.0,,1.36,,3.97,,,,,,,,,,0.0002949417490046846
1854,HD 164509 b,HD 164509,0,0.875,,152.55,0.26,,,5922.0,1.06,1.13,0.061,4.44,,(11.823185339662329+0j),(9.050405001259474+0j),(12.033182945972166+0j),(11.97256044887389+0j),(152.77565232058225+0j),(327.4963334906957+0j),(140.32951171636623+0j),(180.62109385856593+0j),0.0002949417490046846
1855,HD 187123 b,HD 187123,0,,,152.55,0.01,,,5790.0,1.15,1.04,0.127,4.33,,,,,,,,,,0.0002949417490046846
1856,HD 208487 b,HD 208487,0,0.51,,152.55,0.22,,,,,1.05,,,,,,,,,,,,0.0002949417490046846
1857,HD 2638 b,HD 2638,0,0.044,,152.55,0.0,,,5192.0,,0.93,-0.33,4.29,,(56.858214069236986+56.858214069236986j),(43.52379246298789+43.52379246298789j),(57.868101718848436+57.868101718848436j),(57.57656548572668+57.57656548572668j),(734.7047766451639+734.7047766451639j),(1574.9441543505413+1574.9441543505413j),(674.8507435330898+674.8507435330898j),(868.6147197218337+868.6147197218337j),0.0002949417490046846
1858,WASP-96 b,WASP-96,0,0.0453,13.45,152.55,0.0,,1285.0,5540.0,1.05,1.06,,4.42,,,,,,,,,,0.0002949417490046846
1859,HD 160691 e,HD 160691,0,0.934,,152.552,0.079,,,5771.56,1.38,1.03,0.278,4.17,,(16.720290792438472+0j),(12.799038420108177+0j),(17.017268378625644+0j),(16.931536340183637+0j),(216.05457915265737+0j),(463.1437106083824+0j),(198.45330807658277+0j),(255.4334661770427+0j),0.00029493788280487987
1860,HAT-P-40 b,HAT-P-40,0,,17.038,152.5584,0.0,,,6080.0,1.94,1.03,,3.93,,,,,,,,,,0.0002949255116466709
1861,HD 330075 b,HD 330075,0,0.04,,152.5584,0.0,,,5000.0,0.84,0.47,,4.26,,,,,,,,,,0.0002949255116466709
1862,K2-97 b,K2-97,0,,14.684,152.5584,,,,4790.0,4.2,1.16,,3.26,,,,,,,,,,0.0002949255116466709
1863,K2-97 b,K2-97,0,0.081,14.684,152.5584,0.22,,,,4.2,1.16,,,,,,,,,,,,0.0002949255116466709
1864,WASP-31 b,WASP-31,0,,17.374,152.5584,,,1580.0,6217.0,1.27,1.2,0.336,4.31,,,,,,,,,,0.0002949255116466709
1865,CoRoT-28 b,CoRoT-28,0,0.059,10.705,152.87623,0.071,,,5150.0,1.78,1.01,,,,,,,,,,,,0.00029431245112376825
1866,HD 210193 b,HD 210193,0,1.487,,153.1,0.24,,,5790.0,,1.04,,,,,,,,,,,,0.00029388234909966116
1867,WASP-6 b,WASP-6,0,0.04217,13.72,153.51189,0.07,,,5450.0,0.87,0.88,,,,,,,,,,,,0.000293093944620626
1868,CoRoT-28 b,CoRoT-28,0,0.0603,10.705,153.82972,0.047,,,5150.0,1.78,1.01,,3.6,,,,,,,,,,0.0002924884671798855
1869,Kepler-45 b,Kepler-45,0,0.02987,10.761,153.82972,0.23,,,3820.0,0.55,0.59,,,,,,,,,,,,0.0002924884671798855
1870,WASP-6 b,WASP-6,0,0.0414,13.787,154.14755,0.054,,1184.0,5375.0,0.86,0.84,,4.49,,,,,,,,,,0.0002918854861888587
1871,WASP-17 b,WASP-17,0,0.0515,22.317,154.46538,0.028,,1771.0,6650.0,1.57,1.31,,4.16,,,,,,,,,,0.0002912849862397593
1872,WASP-17 b,WASP-17,0,0.0513,19.582,154.46538,0.0,,,,1.57,1.31,,,,,,,,,,,,0.0002912849862397593
1873,WASP-11 b,WASP-11,0,0.0435,11.265,154.777,0.0,,,4980.0,0.79,0.83,-0.469,,,(62.436658127449114+62.436658127449114j),(47.79397655917421+47.79397655917421j),(63.545627358335295+63.545627358335295j),(63.22548807121274+63.22548807121274j),(806.7877564381182+806.7877564381182j),(1729.4642708134716+1729.4642708134716j),(741.0613550000273+741.0613550000273j),(953.8358034549143+953.8358034549143j),0.0002906986133677236
1874,HD 102195 b,HD 102195,0,0.0491,,155.10104,0.14,,,5330.0,0.83,0.93,-0.334,4.37,,(53.98671947415258+53.98671947415258j),(41.32572245919113+41.32572245919113j),(54.94560504825089+54.94560504825089j),(54.66879218854816+54.66879218854816j),(697.6001853445952+697.6001853445952j),(1495.405187099999+1495.405187099999j),(640.7689438447593+640.7689438447593j),(824.7473117540992+824.7473117540992j),0.00029009136846680494
1875,WASP-31 b,WASP-31,0,0.04663,17.363,155.41887,0.047,,,6300.0,1.25,1.17,,,,,,,,,,,,0.00028949822045454265
1876,HD 102195 b,HD 102195,0,0.049,,155.73592,0.167,,,,,0.92,,,,,,,,,,,,0.00028890893988275934
1877,HD 6434 b,HD 6434,0,0.14,,155.7367,0.17,,,5769.0,1.12,1.1,,4.38,,,,,,,,,,0.00028890749310483965
1878,HD 75289 b,HD 75289,0,0.05,,155.7367,0.03,,,6117.0,1.23,1.29,,4.37,,,,,,,,,,0.00028890749310483965
1879,K2-132 b,K2-132,0,0.086,14.572,155.7367,0.36,,,,3.85,1.08,,,,,,,,,,,,0.00028890749310483965
1880,K2-132 b,K2-132,0,,14.572,155.7367,,,,4840.0,3.85,1.08,,3.3,,,,,,,,,,0.00028890749310483965
1881,Kepler-422 b,Kepler-422,0,0.0813,12.89,155.7367,0.55,,,5972.0,1.24,1.15,,,,,,,,,,,,0.00028890749310483965
1882,WASP-96 b,WASP-96,0,0.0454,13.451,155.7367,0.11,,,5500.0,1.05,1.06,,,,,,,,,,,,0.00028890749310483965
1883,WASP-17 b,WASP-17,0,0.051,19.5,156.0,0.129,,,6550.0,1.38,1.2,,,,,,,,,,,,0.00028841993943196087
1884,HATS-75 b,HATS-75,0,0.032742,9.909,156.05375,0.064,59.26,772.0,3790.4,0.58,0.6,-1.197,4.68,,(90.96241938993913+90.96241938993913j),(69.62985961250936+69.62985961250936j),(92.57804917051604+92.57804917051604j),(92.11164617952004+92.11164617952004j),(1175.3890816832295+1175.3890816832295j),(2519.613621865022+2519.613621865022j),(1079.6339168183963+1079.6339168183963j),(1389.619735987465+1389.619735987465j),0.0002883206125212645
1885,WASP-11 b,WASP-11,0,0.04375,11.097,156.37236,,,992.0,4900.0,0.77,0.81,,4.57,,,,,,,,,,0.00028773324136111
1886,HAT-P-46 b,HAT-P-46,0,0.0577,14.392,156.684,0.123,,1458.0,6120.0,1.4,1.28,0.391,4.25,,(73.25922974679602+0j),(56.0784323548256+0j),(74.56042417494402+0j),(74.1847929626134+0j),(946.6337785913299+0j),(2029.2441036125572+0j),(869.5145718978122+0j),(1119.1706661074977+0j),0.0002871610303338823
1887,Kepler-41 b,Kepler-41,0,0.02895,9.55,156.69019,,,1554.0,5660.0,0.94,0.94,,4.47,,,,,,,,,,0.0002871496877503432
1888,TrES-4 b,TrES-4,0,0.0516,20.602,157.00802,0.016,,1795.0,6295.0,1.81,1.45,,4.09,,,,,,,,,,0.000286568496366324
1889,K2-132 b,K2-132,0,0.0916,12.207,157.32585,0.29,,1586.0,4878.0,4.11,1.19,0.943,3.35,,(72.4579848748959+0j),(55.46509589873943+0j),(73.74494798548156+0j),(73.37342509620655+0j),(936.2803328441485+0j),(2007.0500205260603+0j),(860.0045880475378+0j),(1106.9301639878463+0j),0.00028598965289450273
1890,47 UMa c,47 UMa,0,3.404,,157.96072,0.179,,,5829.16,1.14,1.01,,4.33,,,,,,,,,,0.0002848403773515473
1891,WASP-101 b,WASP-101,0,0.05057,15.805,157.96151,0.068,,,6380.0,1.29,1.34,,,,,,,,,,,,0.0002848389530055728
1892,TrES-4 b,TrES-4,0,0.05159,20.602,158.27934,0.015,,,6295.0,1.81,1.45,,,,,,,,,,,,0.0002842670685320181
1893,Kepler-32 c,Kepler-32,0,0.09,2.0,158.9,,,,3900.0,0.53,0.58,,4.64,,,,,,,,,,0.00028315688464508604
1894,HD 31253 b,HD 31253,0,1.26,,158.908,0.3,,,5960.0,1.71,1.23,0.517,4.1,,(16.81099537181058+0j),(12.868470908494587+0j),(17.109584008150676+0j),(17.023386888773047+0j),(217.22663650301888+0j),(465.6561821904298+0j),(199.52988168750528+0j),(256.8191469283384+0j),0.000283142631527733
1895,WASP-42 b,WASP-42,0,0.0548,12.106,158.908,0.06,,,5200.0,0.86,0.88,,,,,,,,,,,,0.000283142631527733
1896,WASP-101 b,WASP-101,0,0.0506,15.8,158.91,0.0,,1560.0,6400.0,1.29,1.34,,4.34,,,,,,,,,,0.00028313906847254877
1897,HD 2638 b,HD 2638,0,0.044,,158.9142,0.187,,,,,0.92,,,,,,,,,,,,0.00028313158634862834
1898,KIC 5479689 b,KIC 5479689,0,,,158.9142,,,,5459.1,0.89,0.97,,4.52,,,,,,,,,,0.00028313158634862834
1899,K2-137 b,K2-137,0,0.0058,0.89,158.915,0.0,,1471.0,3492.0,0.44,0.46,,4.82,,,,,,,,,,0.00028313016122705204
1900,Kepler-1654 b,Kepler-1654,0,2.026,9.18,158.915,0.26,0.3,206.0,5597.0,1.18,1.01,0.09,4.3,,(8.563414623848892+0j),(6.555117619576622+0j),(8.715513785046538+0j),(8.671605518088723+0j),(110.65387352605713+0j),(237.20231146703938+0j),(101.63925864870403+0j),(130.8220477044642+0j),0.00028313016122705204
1901,Kepler-45 b,Kepler-45,0,0.02954,11.198,158.915,,,787.0,3820.0,0.54,0.57,,4.73,,,,,,,,,,0.00028313016122705204
1902,WASP-13 b,WASP-13,0,,15.771,158.915,0.0,,,5989.0,,1.19,,4.16,,,,,,,,,,0.00028313016122705204
1903,WASP-6 b,WASP-6,0,,13.675,158.915,,,1150.0,5380.72,0.82,0.93,-0.297,4.58,,,,,,,,,,0.00028313016122705204
1904,WASP-94 A b,WASP-94 A,0,,17.71,158.915,0.0,,,6170.0,1.48,1.67,,4.27,,,,,,,,,,0.00028313016122705204
1905,HD 187123 b,HD 187123,0,0.04186,,159.23203,0.004,,,5765.94,1.15,1.02,,4.32,,,,,,,,,,0.0002825665304466707
1906,WASP-42 b,WASP-42,0,0.0548,11.915,159.23283,0.062,,,5200.0,0.85,0.88,,,,,,,,,,,,0.0002825651110076599
1907,HD 99109 b,HD 99109,0,1.105,,159.5,0.09,,,5272.0,,0.93,,4.44,,,,,,,,,,0.00028209186791838814
1908,WASP-183 b,WASP-183,0,0.04632,16.477,159.55066,,,1111.0,5313.0,0.87,0.78,,4.45,,,,,,,,,,0.00028200231166708445
1909,OGLE-2014-BLG-0124L b,OGLE-2014-BLG-0124L,0,3.11,,160.0,,,,,,0.71,,,,,,,,,,,,0.00028121045477991213
1910,OGLE-2017-BLG-0604L b,OGLE-2017-BLG-0604L,0,4.06,,160.0,,,,,,0.7,,,,,,,,,,,,0.00028121045477991213
1911,WASP-6 b,WASP-6,0,0.0421,13.72,160.0,0.054,,,5450.0,0.87,0.88,,,,,,,,,,,,0.00028121045477991213
1912,Kepler-45 b,Kepler-45,0,0.03,10.76,160.497,0.11,,1000.0,3820.0,0.55,0.59,,4.7,,,,,,,,,,0.0002803397718035283
1913,WASP-60 b,WASP-60,0,0.05311,9.64,160.50415,0.064,,,5900.0,1.14,1.08,,,,,,,,,,,,0.00028032728522031647
1914,HD 187123 b,HD 187123,0,0.04213,,161.2601,0.0093,,,5790.0,1.15,1.04,0.127,4.33,,(64.72339147887763+0j),(49.54442386806386+0j),(65.87297654350685+0j),(65.54111220243487+0j),(836.3362384597747+0j),(1792.8056434426783+0j),(768.2026173090101+0j),(988.7698984075083+0j),0.0002790133591596966
1915,HD 7449 b,HD 7449,0,2.38,,161.45764,0.92,,,6024.0,,1.05,,4.51,,,,,,,,,,0.00027867203979392574
1916,WASP-177 b,WASP-177,0,0.03957,17.71,161.45764,,,1142.0,5017.0,0.89,0.88,,4.49,,,,,,,,,,0.00027867203979392574
1917,WASP-11 b,WASP-11,0,,,161.77547,0.028,,,,,0.83,,,,,,,,,,,,0.00027812462665643967
1918,HIP 5763 b,HIP 5763,0,0.17,,162.09249,0.054,,,,,0.72,,,,,,,,,,,,0.00027758074685146905
1919,OGLE-2019-BLG-0304L b,OGLE-2019-BLG-0304L,0,1.23,,162.09249,,,,,,0.27,,,,,,,,,,,,0.00027758074685146905
1920,WASP-110 b,WASP-110,0,,13.877,162.09249,0.0,,,5400.0,,,,4.1,,,,,,,,,,0.00027758074685146905
1921,ups Leo b,ups Leo,0,1.18,,162.09249,0.32,,,4836.0,11.22,1.48,1.8,2.46,,(23.729204984348332+0j),(18.164217957898554+0j),(24.150671459176593+0j),(24.029001738286542+0j),(306.62166466859816+0j),(657.2871358916858+0j),(281.6421846742587+0j),(362.5076354245445+0j),0.00027758074685146905
1922,HD 212301 b,HD 212301,0,0.03,,162.0933,0.0,,,6239.0,1.16,1.55,,4.5,,,,,,,,,,0.0002775793599391063
1923,WASP-101 b,WASP-101,0,,16.029,162.0933,0.0,,,6380.0,1.31,1.41,,4.31,,,,,,,,,,0.0002775793599391063
1924,WASP-17 b,WASP-17,0,,21.185,162.0933,,,1740.0,6548.0,1.57,1.35,0.613,4.18,,,,,,,,,,0.0002775793599391063
1925,WASP-13 b,WASP-13,0,0.0557,17.127,162.72896,,,1531.0,5826.0,1.66,1.22,,4.09,,,,,,,,,,0.0002764952154654665
1926,WASP-17 b,WASP-17,0,0.05151,22.317,162.72896,0.02,,,6650.0,1.57,1.31,,,,,,,,,,,,0.0002764952154654665
1927,WASP-60 b,WASP-60,0,0.0531,9.64,163.358,0.0,,1320.0,5900.0,1.14,1.08,,4.35,,,,,,,,,,0.00027543066645052683
1928,WASP-118 b,WASP-118,0,0.05453,16.141,163.36462,0.0,,1729.0,6410.0,1.7,1.32,,4.1,,,,,,,,,,0.0002754195067519172
1929,CoRoT-26 b,CoRoT-26,0,0.0526,14.12,165.26,0.0,,1600.0,5590.0,1.79,1.09,,3.99,,,,,,,,,,0.0002722611286737342
1930,HD 187123 b,HD 187123,0,0.042,,165.26,0.0,,,,,,,,,,,,,,,,,0.0002722611286737342
1931,HD 187123 b,HD 187123,0,0.042,,165.26,0.03,,,5830.0,,1.0,0.13,,,(65.20295197263096+0j),(49.91151755444225+0j),(66.361054755022+0j),(66.02673150344445+0j),(842.5329752236455+0j),(1806.0892297926566+0j),(773.8945258762478+0j),(996.0960747690094+0j),0.0002722611286737342
1932,HD 208487 b,HD 208487,0,0.524,,165.265,0.24,,,6067.0,,1.13,,4.33,,,,,,,,,,0.00027225289268706376
1933,KELT-6 b,KELT-6,0,,14.572,165.2716,0.22,,,6102.0,1.73,1.42,,4.07,,,,,,,,,,0.000272242021947644
1934,OGLE-TR-111 b,OGLE-TR-111,0,,11.96,165.2716,,,,,0.83,0.81,,,,,,,,,,,,0.000272242021947644
1935,OGLE-TR-111 b,OGLE-TR-111,0,,10.873,165.2716,,,,5044.0,0.83,0.81,,4.51,,,,,,,,,,0.000272242021947644
1936,WASP-118 b,WASP-118,0,0.0545,15.625,165.2716,0.0,,1753.0,,1.75,1.32,,,,,,,,,,,,0.000272242021947644
1937,WASP-62 b,WASP-62,0,,14.796,165.2716,0.0,,,6230.0,1.23,1.11,,4.45,,,,,,,,,,0.000272242021947644
1938,HD 160691 e,HD 160691,0,0.921,,165.8685,0.0666,,,,,1.08,,,,,,,,,,,,0.00027126245546782446
1939,Kepler-77 b,Kepler-77,0,0.04502,10.761,165.90726,0.079,,,5520.0,0.99,0.95,,,,,,,,,,,,0.0002711990905068795
1940,HD 187123 b,HD 187123,0,0.0426,,166.218,0.0103,,,5790.0,1.15,1.04,0.127,4.33,,(64.36535902605694+0j),(49.27035739540598+0j),(65.5085848942502+0j),(65.17855633775817+0j),(831.7098505651245+0j),(1782.8883231773764+0j),(763.9531263436273+0j),(983.3002883652467+0j),0.00027069215985287
1941,HAT-P-1 b,HAT-P-1,0,,13.731,166.536,0.0,,,,1.11,1.13,,,,,,,,,,,,0.00027017534379825126
1942,HAT-P-1 b,HAT-P-1,0,0.05535,13.641,166.54292,,,1291.0,5975.0,1.11,1.13,,4.4,,,,,,,,,,0.0002701641192992543
1943,HAT-P-1 b,HAT-P-1,0,0.0553,13.922,166.86075,0.011,,,5980.0,1.14,1.13,,,,,,,,,,,,0.00026964959035746805
1944,HAT-P-1 b,HAT-P-1,0,0.05561,14.785,166.86075,,,1322.0,5980.0,1.17,1.15,,4.36,,,,,,,,,,0.00026964959035746805
1945,WASP-13 b,WASP-13,0,0.0558,17.127,166.86075,0.016,,,5830.0,1.66,1.22,,,,,,,,,,,,0.00026964959035746805
1946,HD 181433 d,HD 181433,0,3.29347,,166.89822,0.46626,,,4929.63,0.81,0.81,-0.456,4.53,,(7.1253372088572275+7.1253372088572275j),(5.454298960735351+5.454298960735351j),(7.2518939458975336+7.2518939458975336j),(7.215359313151894+7.215359313151894j),(92.07146879745773+92.07146879745773j),(197.3682847512746+197.3682847512746j),(84.57070261591177+84.57070261591177j),(108.85274685304813+108.85274685304813j),0.0002695890600041828
1947,HATS-10 b,HATS-10,0,0.04491,10.862,167.17858,0.501,,1407.0,5880.0,1.1,1.1,0.117,4.39,,(61.41592585332797+0j),(47.012627014761435+0j),(62.50676533930272+0j),(62.19185978044783+0j),(793.5981603568999+0j),(1701.1904962217043+0j),(728.9462728537598+0j),(938.2422240097858+0j),0.00026913701753605856
1948,HIP 57274 d,HIP 57274,0,1.01,,167.4,0.27,,,4640.0,0.68,0.73,0.19,4.71,,(14.619542384936253+0j),(11.190958757357246+0j),(14.879207510533405+0j),(14.804246902173846+0j),(188.90933875446007+0j),(404.954028109246+0j),(173.51950303211748+0j),(223.34063633601716+0j),0.00026878107781225236
1949,HAT-P-65 b,HAT-P-65,0,0.03951,21.185,167.49641,0.304,,1930.0,5835.0,1.86,1.21,0.555,3.98,,(96.6330742650087+0j),(73.97062919087173+0j),(98.34942343006308+0j),(97.85394458101078+0j),(1248.6635819752455+0j),(2676.687931936648+0j),(1146.9389794448841+0j),(1476.2495110442374+0j),0.0002686263897013763
1950,WASP-42 b,WASP-42,0,0.0561,12.576,167.49641,,,1021.0,5315.0,0.89,0.95,,4.51,,,,,,,,,,0.0002686263897013763
1951,CoRoT-16 b,CoRoT-16,0,0.0618,13.115,168.13207,0.37,,,5650.0,1.19,1.1,,,,,,,,,,,,0.00026761092487714855
1952,HAT-P-1 b,HAT-P-1,0,0.05561,14.785,168.13207,0.0,,1322.0,5980.0,,,,4.38,,,,,,,,,,0.00026761092487714855
1953,WASP-17 b,WASP-17,0,,,168.13207,0.039,,,,,1.29,,,,,,,,,,,,0.00026761092487714855
1954,BD-11 4672 b,BD-11 4672,0,2.28,,168.44,0.05,,,4475.0,0.52,0.57,,4.1,,,,,,,,,,0.00026712176300369705
1955,HAT-P-1 b,HAT-P-1,0,,14.796,168.4499,,,1320.0,6051.18,1.18,1.13,0.225,4.35,,,,,,,,,,0.00026710606603819187
1956,HAT-P-1 b,HAT-P-1,0,0.0551,15.244,168.4499,0.0,,,5975.0,1.15,1.12,0.18,4.45,,(61.751625233491886+0j),(47.26959798001926+0j),(62.84842724684389+0j),(62.53180041456604+0j),(797.93596698978+0j),(1710.4892015198423+0j),(732.9306923438153+0j),(943.3706549284354+0j),0.00026710606603819187
1957,HATS-27 b,HATS-27,0,0.0611,16.814,168.4499,0.581,,1659.0,6438.0,1.74,1.42,0.669,4.11,,(81.42204195434763+0j),(62.32689707099124+0j),(82.86822024049133+0j),(82.45073482008144+0j),(1052.1111879317407+0j),(2255.3499280707388+0j),(966.3990762348494+0j),(1243.8727685894785+0j),0.00026710606603819187
1958,HD 63765 b,HD 63765,0,0.94,,168.4499,0.24,,,5449.0,0.83,0.65,,4.41,,,,,,,,,,0.00026710606603819187
1959,OGLE-TR-111 b,OGLE-TR-111,0,0.047,11.265,168.4499,,,,,0.83,0.82,,,,,,,,,,,,0.00026710606603819187
1960,OGLE-TR-111 b,OGLE-TR-111,0,0.047,11.209,168.4499,0.0,,,5070.0,0.85,0.82,,4.8,,,,,,,,,,0.00026710606603819187
1961,WASP-11 b,WASP-11,0,0.043,10.2,168.4499,0.0,,960.0,4800.0,0.74,0.77,0.0,4.45,,0j,0j,0j,0j,0j,0j,0j,0j,0.00026710606603819187
1962,PH1 b,PH1,0,0.652,6.18,169.0,0.0702,,481.0,6407.0,1.73,1.53,,4.14,,,,,,,,,,0.0002662367436289115
1963,HAT-P-1 b,HAT-P-1,0,0.0553,13.922,169.08556,,,1306.0,5975.0,1.14,1.13,0.17,4.38,,(60.765311710969165+0j),(46.51459528145678+0j),(61.84459530835707+0j),(61.53302572477654+0j),(785.1911196861917+0j),(1683.1688091705066+0j),(721.2241267239265+0j),(928.302885777602+0j),0.0002661020414994608
1964,WASP-11 b,WASP-11,0,0.04376,11.097,169.08556,0.03,,,4900.0,0.77,0.81,,,,,,,,,,,,0.0002661020414994608
1965,Kepler-238 e,Kepler-238,0,,5.6,169.7,,,,,0.96,1.06,,4.49,,,,,,,,,,0.000265138682260857
1966,HAT-P-17 b,HAT-P-17,0,0.0882,11.321,169.71,0.342,,792.0,5246.0,0.84,0.86,-0.319,4.52,,(39.82029249343482+39.82029249343482j),(30.481614216536542+30.481614216536542j),(40.52756095501658+40.52756095501658j),(40.32338538838331+40.32338538838331j),(514.5458678443281+514.5458678443281j),(1103.0022295581666+1103.0022295581666j),(472.6274723327805+472.6274723327805j),(608.3288539683549+608.3288539683549j),0.0002651230612876754
1967,HAT-P-1 b,HAT-P-1,0,0.0551,,169.72122,0.0,,,6067.0,1.15,1.12,0.18,,,(61.751625233491886+0j),(47.26959798001926+0j),(62.84842724684389+0j),(62.53180041456604+0j),(797.93596698978+0j),(1710.4892015198423+0j),(732.9306923438153+0j),(943.3706549284354+0j),0.0002651055367468569
1968,MOA-2010-BLG-117L b,MOA-2010-BLG-117L,0,2.42,,170.0,,,,,,0.58,,,,,,,,,,,,0.00026467085238723875
1969,MOA-2010-BLG-117L b,MOA-2010-BLG-117L,0,2.42,,170.0,,,,,,0.58,,,,,,,,,,,,0.00026467085238723875
1970,OGLE-2011-BLG-0251L b,OGLE-2011-BLG-0251L,0,2.72,,170.0,,,,,,0.26,,,,,,,,,,,,0.00026467085238723875
1971,CoRoT-16 b,CoRoT-16,0,0.0618,13.11,170.032,0.33,,,5650.0,1.19,1.1,,4.36,,,,,,,,,,0.0002646210479582134
1972,HAT-P-17 b,HAT-P-17,0,0.0882,11.321,170.67471,0.3417,,,5246.0,0.84,0.86,,,,,,,,,,,,0.00026362469544771727
1973,WASP-80 b,WASP-80,0,0.0344,11.198,170.99254,0.002,,825.0,4143.0,0.59,0.58,,4.66,,,,,,,,,,0.00026313475118922014
1974,HD 181433 d,HD 181433,0,3.0,,171.0,0.48,,,4962.0,,0.78,-0.511,4.37,,(7.6813165906038465+7.6813165906038465j),(5.879889732815768+5.879889732815768j),(7.817748360130765+7.817748360130765j),(7.778362984756272+7.778362984756272j),(99.25566749543395+99.25566749543395j),(212.76863616145064+212.76863616145064j),(91.16962777215893+91.16962777215893j),(117.34636352308435+117.34636352308435j),0.00026312327325361817
1975,47 UMa c,47 UMa,0,3.6,,171.621,0.098,,,5872.0,1.21,1.06,0.198,4.3,,(7.823860756011613+0j),(5.989004357212212+0j),(7.962824324936842+0j),(7.922708065032878+0j),(101.09758041729351+0j),(216.7170384058891+0j),(92.8614859774588+0j),(119.52399013887775+0j),0.0002621713027293193
1976,OGLE-TR-111 b,OGLE-TR-111,0,0.04651,12.072,171.6282,,,1034.0,5044.0,0.84,0.83,,4.51,,,,,,,,,,0.00026216030578385396
1977,Pr0201 b,Pr0201,0,0.06,,171.6282,0.0,,,6174.0,1.15,1.24,,4.41,,,,,,,,,,0.00026216030578385396
1978,Pr0201 b,Pr0201,0,,,171.6282,0.0,,,6174.0,1.17,1.23,,,,,,,,,,,,0.00026216030578385396
1979,WASP-15 b,WASP-15,0,,15.805,171.6282,0.0,,,6300.0,1.48,1.18,,4.35,,,,,,,,,,0.00026216030578385396
1980,WASP-80 b,WASP-80,0,0.03427,10.671,171.6282,0.02,,,4150.0,0.57,0.57,,,,,,,,,,,,0.00026216030578385396
1981,WASP-15 b,WASP-15,0,0.0499,16.01,172.0,0.0,,,6300.0,1.48,1.18,0.49,,,(83.3498480772568+0j),(63.80259297484434+0j),(84.83026710814146+0j),(84.40289700625742+0j),(1077.0217200357288+0j),(2308.7491955943333+0j),(989.2802274762281+0j),(1273.3235841407673+0j),0.0002615936868723967
1982,WASP-15 b,WASP-15,0,0.0499,16.006,172.26386,0.055,,,6300.0,1.48,1.18,,,,,,,,,,,,0.000261193050918318
1983,HATS-13 b,HATS-13,0,0.04057,13.585,172.58169,0.181,,1244.0,5523.0,0.89,0.96,,4.52,,,,,,,,,,0.00026071209511202564
1984,OGLE-TR-111 b,OGLE-TR-111,0,0.04689,11.781,174.799,,,,5040.0,0.83,0.85,-0.397,,,(57.68309810216991+57.68309810216991j),(44.155224210240576+44.155224210240576j),(58.70763693650211+58.70763693650211j),(58.411871172297474+58.411871172297474j),(745.363680536098+745.363680536098j),(1597.7930304004083+1597.7930304004083j),(684.641300835426+684.641300835426j),(881.2163538884741+881.2163538884741j),0.0002574054106617707
1985,Kepler-41 b,Kepler-41,0,0.03,9.98,174.8,0.0,,1730.0,5620.0,1.02,1.12,,4.47,,,,,,,,,,0.0002574039382803317
