,Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,stellarEffTemp,stellarRadius,luminosity,density,escapeVelocity,surfaceEarthTemp,surfaceVenusTemp,surfaceMarsTemp,surfaceTitanTemp,similarityIndex_Earth,similarityIndex_Arrakis,similarityIndex_Erid
2261,HATS-45 b,HATS-45,0,8266500.0,14.415,222.481,6450.0,912208.02,0.425,0.07418785741888398,3.9236945281548468,3.803999271649188,3.1399661679262283,3.682405927508696,3.0975986827000694,0.005052990673229848,0.004513661073231697,0.004428611748962616
2268,HATS-30 b,HATS-30,0,6531000.0,13.171,224.38798,5943.0,738122.52,0.097,0.09809055246699398,4.1223652435626565,3.543328507127119,2.9247985711112294,3.430067401695011,2.8860691092847524,0.005209639003145188,0.004648838348938852,0.00456774460574116
2273,Kepler-77 b,Kepler-77,0,7050000.0,10.76,225.65,5668.0,689378.58,-0.046,0.18091824439121207,4.573699017746224,3.14091874667711,2.592634197980704,3.040520511343995,2.5599336806139026,0.005726870255558641,0.005095860104075473,0.005023345631542736
2277,HAT-P-30 b,HAT-P-30,0,6285000.0,15.02,225.968,6304.0,849537.24,0.312,0.06660717044059604,3.873865631952466,4.087884523473615,3.374295888477269,3.9572168986468044,3.328120344261545,0.005196431513226015,0.004643621231284438,0.004556485120509389
2285,Kepler-423 b,Kepler-423,0,5940000.000000001,13.45,228.83,5790.0,689378.58,-0.018,0.09393554262968766,4.1195652530267735,3.4774271268515546,2.8704010568879412,3.3662725331821846,2.832619301937843,0.005015245498804684,0.004475810215301387,0.004398451896103804
2293,HAT-P-68 b,HAT-P-68,0,4494000.0,12.016,230.10892,4508.0,466549.14,-0.779,0.13247610051483266,4.370617652316813,2.5797922046207336,2.1294589363254643,2.497330159034849,2.106775039543802,0.004216138610984794,0.0037562895971237956,0.003695640757477929
2297,WASP-81 b,WASP-81,0,5861999.999999999,16.018,231.69807,5870.0,891317.76,0.246,0.05630946344716599,3.7985085798087472,4.075006943681131,3.36366624267935,3.9447509456396017,3.317660691309822,0.0048411932962681425,0.0043278852982586045,0.0042453967052402675
2309,Qatar-10 b,Qatar-10,0,4290000.0,17.295,233.92288,6124.0,870427.5,0.3,0.04516425430144545,3.6730946212739135,4.913858134833553,4.056086028291268,4.756788587607446,3.9993664038427137,0.005345238920844317,0.004782382228593356,0.004690715527426465
2311,HD 209458 b,HD 209458,0,7350000.0,15.805,235.1942,6071.0,835610.4,0.248,0.05950136762366796,3.852761291937442,3.643406179671026,3.00740650121644,3.526946130703596,2.967261003354176,0.004412805105974872,0.0039436291297508886,0.00386928303348141
2315,HAT-P-9 b,HAT-P-9,0,7930500.0,15.614,238.05467,6350.0,933098.28,0.418,0.06246230712336113,3.8997549099199067,3.8681292341025006,3.1929014862777687,3.7444860008749052,3.149661659617195,0.004756194444180454,0.004250265992785803,0.0041732686081486225
