,Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,stellarEffTemp,stellarRadius,density,escapeVelocity,surfaceEarthTemp,surfaceVenusTemp,surfaceMarsTemp,surfaceTitanTemp,similarityIndex_Earth,similarityIndex_Jupiter,similarityIndex_Arrakis,similarityIndex_Erid,similarityIndex_Mesklin
3265,WASP-77 A b,WASP-77 A,0,3607500.0,13.563,560.33429,5500.0,661524.9,0.22452118037869104,6.419508340866025,1719.5631698059972,3686.1281543435693,1579.4758936978428,1709.5230350542317,0.0038950074186470986,0.10569008361074766,0.004319862966836254,0.017567114534015237,0.0013590229818294128
3269,WASP-114 b,WASP-114,0,4276500.0,15.009,562.24127,5940.0,995769.0599999999,0.16624356742126362,6.112818905590724,2092.7003066666857,4486.000662527442,1922.2147491604094,2080.481509798429,0.0024230220973849403,0.07218562010785877,0.002708043264375086,0.011043043913912184,0.0007561868430744238
3271,HAT-P-49 b,HAT-P-49,0,6567000.0,15.838,562.5591,6820.0,1274305.86,0.14156129933893744,5.952370505675637,2193.4271953634902,4701.923070522847,2014.7357424785773,2180.6202773064347,0.0019671289154189124,0.06153932593274337,0.0022048364715433273,0.008985072293325793,0.0005828014514971743
3272,K2-34 b,K2-34,0,6675000.0,16.141,563.51259,6087.0,1155927.72,0.13396449546786748,5.901231354464691,1849.390077451858,3964.430590606357,1698.7262210952995,1838.591913178376,0.002153060312461117,0.06932403812574939,0.002409260018462327,0.00975564866143842,0.0006366532507223392
3273,K2-31 b,K2-31,0,3300000.0,11.882,563.83042,5280.0,543146.76,0.33601391372984774,6.879953864001313,1563.9435250173665,3352.535318618299,1436.5340804248854,1554.812017660706,0.006164871691666036,0.10291905818916017,0.006772980056002023,0.027621912908002706,0.0025236198514229226
3274,HAT-P-7 b,HAT-P-7,0,5655000.0,15.043,564.442,6532.23,1385720.58,0.16576519824699001,6.117845167520258,2360.850649165428,5060.8190492186395,2168.519746441415,2347.0661839811173,0.002166222933909589,0.06417146761291304,0.0024248639385299176,0.009927553247990351,0.0006713258322840154
3277,TrES-5 b,TrES-5,0,3669000.0,13.552,565.078,5171.0,605817.54,0.22697374438171988,6.449240185782157,1534.1121892502408,3288.587608767498,1409.1330075545607,1525.1548602175794,0.004315618501243969,0.11793215324282684,0.004776502631203528,0.0193508871692117,0.0015358747691089016
3280,WASP-43 b,WASP-43,0,2130000.0,10.424,565.714,4400.0,417805.2,0.4993109844498835,7.357619257554044,1422.772008681413,3049.9141005702054,1306.863353088613,1414.4647694133066,0.009395046961805608,0.08367464342696286,0.010209998171547385,0.041750747663274725,0.004593747747824621
3285,HAT-P-7 b,HAT-P-7,0,5324999.999999999,15.906,566.05523,6350.0,1281269.28,0.14062200143916237,5.958061240971913,2274.15280861852,4874.969900683548,2088.8848998803837,2260.874552230177,0.001884906714663234,0.059039625748124325,0.002113798419346725,0.008626068122074445,0.0005581298666842304
3288,TrES-5 b,TrES-5,0,3688500.0,13.384,568.9157,5171.0,605817.54,0.23722886819122346,6.511589942606753,1530.0516184599144,3279.8831979172605,1405.403238395398,1521.1179981682983,0.004497924969625581,0.1210949167543188,0.004973999570919204,0.02016989208836074,0.0016329240961112195
3289,TrES-5 b,TrES-5,0,3678000.0,13.552,568.9157,5171.0,605817.54,0.22851522562645735,6.4711029804974505,1532.2340671146517,3284.561586924943,1407.4078899836147,1523.2877040061578,0.004331241721455739,0.11825731805189828,0.004793012332596546,0.019426294578797153,0.0015520452624153038
3295,HAT-P-7 b,HAT-P-7,0,5707500.0,16.421,571.77617,6350.0,1364830.32,0.1290935815032834,5.893445521780633,2267.125768949941,4859.906441998887,2082.43033051331,2253.888541833693,0.0017169809283090563,0.055326743607953685,0.0019274557549749385,0.007860289652121327,0.0004991020308849091
3299,WASP-37 b,WASP-37,0,6690000.0,13.002,572.07,5800.0,696342.0,0.2601932885862109,6.624842444836873,1366.1920289036934,2928.6268689680237,1254.8927621303862,1358.2151471538193,0.005387217714017762,0.13076668461569943,0.0059353379490145125,0.02399601472938651,0.002051225464923293
3303,WASP-105 b,WASP-105,0,11250000.0,10.761,572.094,5070.0,626707.8,0.45897274911429753,7.282213862524062,873.6747115052895,1872.8459694685018,802.4992451493998,868.573525351301,0.01281082105858757,0.1403565888170855,0.013812344594032156,0.0551397556936616,0.006456363632959891
3310,TrES-3 b,TrES-3,0,3426000.0,14.975,572.41183,5650.0,577963.86,0.17040624607934501,6.174857406781585,1694.3012338646645,3631.975602729501,1556.2719663585665,1684.408597759878,0.002952823962414477,0.08893347208684305,0.003288641007921081,0.013329538747862676,0.0009560107186378308
3312,HAT-P-7 b,HAT-P-7,0,5719500.0,16.926,574.00098,6350.0,1392684.0,0.11833876322705954,5.816144621141427,2287.7391450957143,4904.094144725494,2101.3644012596887,2274.381561206405,0.0015493232966478216,0.05121450659590938,0.0017412572678388355,0.00709625903285612,0.0004400287411895302
3322,HAT-P-54 b,HAT-P-54,0,6183000.0,10.581,578.4506,4390.0,431732.04,0.48816151099599553,7.384580497626729,846.949574485342,1815.5568382939653,777.9513190132864,842.0044302736626,0.013715826108013793,0.13614876312190932,0.014754447301611049,0.05889896577118046,0.007188259496269226
