,Name,starName,controversial,solution,orbitalPeriod,planetSemimajor,planetEarthRads,earthMass,stellarEffTemp,stellarRadius,distance,density,escapeVelocity,surfaceEarthTemp,surfaceVenusTemp,surfaceMarsTemp,surfaceTitanTemp,similarityIndex_Earth,similarityIndex_Jupiter,similarityIndex_Arrakis,similarityIndex_Erid,similarityIndex_Mesklin,similarityIndex_Habranah,similarityIndex_Dhrawn,similarityIndex_Hekla,similarityIndex_Sarr,similarityIndex_Tenebra
27925,Kepler-74 b,Kepler-74,0,Published Confirmed,0,1101106650.0,0.07813,10.761,191.96932,4178052000.0,1.12,22536.319930218306,11.721237120182593,273.0169253151175,585.2505989238595,250.7751152610366,271.42284213875723,1.9681068194923554e-06,1.1460268345645077e-07,1.5750866969540977e-06,1.4936919910805266e-06,6.213366179125751e-06,1.5791245561620569e-06,5.79743429642257e-06,1.5944316421224165e-07,1.060873894956605e-06,1.0838174522460128e-06
27930,Kepler-74 b,Kepler-74,0,Published Confirmed,0,1101107700.0,0.084,14.8,216.12,4212869100.0,1.51,24940.64599616082,13.257061253442203,308.6416690044391,661.6173024043121,283.4976257593256,306.8395811246644,1.6830374006678636e-06,9.365149290537149e-08,1.4477759501147483e-06,1.405246242674891e-06,5.980340195199282e-06,1.2378892959965947e-06,5.674062584832266e-06,1.2902186158669539e-07,9.972059384627742e-07,1.0358037865092606e-06
28024,Kepler-75 b,Kepler-75,0,Published Confirmed,0,1332738600.0,0.08,11.55,3146.4,3711502860.0,0.88,22531.798781154088,12.00057476170724,3833.556445065471,8217.773322637138,3521.2489418426203,3811.1731886880393,2.8270908074457126e-07,1.1556229299726003e-08,2.69695463143171e-07,4.5976034852020907e-07,6.130582260950482e-07,1.8240395445129668e-07,7.713381015905981e-07,2.0781197215320843e-08,7.195178465134915e-07,5.335766651602982e-07
28033,Kepler-75 b,Kepler-75,0,Published Confirmed,0,1332736740.0,0.0817,11.769,3210.083,3620978400.0,0.89,21555.45696623373,11.987118577102665,3863.158800649224,8281.23018090683,3548.439688808017,3840.602702910539,2.994802331396768e-07,1.2252410720191708e-08,2.8570556805545085e-07,4.875218497529767e-07,6.489078338353541e-07,1.9238204693861943e-07,8.16753546259064e-07,2.2029873586451677e-08,7.624747955838887e-07,5.660553439278941e-07
28185,Kepler-76 b,Kepler-76,0,Published Confirmed,0,231739305.0,0.0278,14.011,635.66,4462855878.0,1.32,651356.252236602,22.421683446595715,2036.6527206649964,4365.854692683759,1870.7331795710743,2024.761172789885,3.514416344971988e-09,1.59626187618039e-10,3.3247053682504427e-09,5.578443030481567e-09,1.9967664885935992e-08,2.605221712844832e-09,1.946091609214564e-08,2.52203173600129e-10,8.295066404335853e-09,6.424527005769739e-09
28301,Kepler-77 b,Kepler-77,0,Published Confirmed,0,536817090.0,0.047,10.76,225.65,3946866456.0,0.99,103514.82170077888,15.11169762120729,446.7184650182872,957.6045474123694,410.32574967611805,444.1101784117582,1.6880863396654808e-07,8.725649853498636e-09,1.546205546813529e-07,2.1187309305520193e-07,6.587546722224819e-07,1.3170675929171976e-07,6.638152559592928e-07,1.2592746434014212e-08,1.5982974449564357e-07,1.6049793298787087e-07
28311,Kepler-77 b,Kepler-77,0,Published Confirmed,0,536817130.5,0.04502,10.761,165.90726,3843807840.0,0.99,117793.14038208318,15.441149173659417,324.12949983563027,694.817669962199,297.72371286858635,322.23698206570197,1.6745348572397475e-07,9.211781839429157e-09,1.5150568426600035e-07,1.464647882054943e-07,7.246766160024829e-07,1.3520473045355184e-07,6.863584511686674e-07,1.257754512966037e-08,1.0632469893032568e-07,1.0846137631791123e-07
28705,Kepler-8 b,Kepler-8,0,Published Confirmed,0,528374857.5,0.04835,15.906,177.9848,4324283820.0,1.49,140557.940058503,18.114998320263886,371.7529774429601,796.9053656622262,341.4674590569412,369.5823971156794,1.1989154386845458e-07,6.635835339975731e-09,1.0913866638259833e-07,1.2361050496358538e-07,6.454159033713611e-07,9.397887631275271e-08,6.204440261302895e-07,8.976504664640642e-09,9.001295518880136e-08,9.312130221804256e-08
28706,Kepler-8 b,Kepler-8,0,Published Confirmed,0,528380999.99999994,0.0483,15.906,191.643,4326372846.0,1.49,140994.90743546333,18.124372188068598,400.3749097012138,858.2605471300677,367.75765462914853,398.03721247949466,1.1438136862927747e-07,6.244561679472487e-09,1.0435300507541116e-07,1.2821094904718769e-07,6.061713781110944e-07,8.906318162456442e-08,5.908485794228749e-07,8.547962421885346e-09,9.419991816062268e-08,9.711357906957899e-08
28708,Kepler-8 b,Kepler-8,0,Published Confirmed,0,528375705.0,0.0485,15.48,187.5197,4326372846.0,1.5,135528.17225351316,17.84311428411618,391.76259578194873,839.7988276833609,359.84695820153644,389.4751838848935,1.2278435764450061e-07,6.7129104618285685e-09,1.1195290662574154e-07,1.3420662879741035e-07,6.384300764281695e-07,9.580087419298808e-08,6.205188965866816e-07,9.182805338816874e-09,9.842572338706723e-08,1.0143170662224097e-07
30001,Kepler-9 b,Kepler-9,0,Published Confirmed,0,2886000000.0,0.14,9.438,80.09,4006751868.0,1.05,3435.4189495230676,8.20034297529012,68.89883387870091,147.6944469509504,63.28586767043747,68.49654939824201,1.1997749409014934e-05,1.9520297508964982e-06,9.28452557548205e-06,7.929557803057826e-06,8.500875821880859e-05,1.3576472341092625e-05,2.4160187511058542e-05,1.0856346529670867e-06,5.038632806653282e-06,5.317799510262406e-06
30004,Kepler-9 c,Kepler-9,0,Published Confirmed,0,5836499999.999999,0.225,9.225,54.347,4006751868.0,1.05,808.9145764762743,6.3951093754723995,32.87615898179457,70.47472134631754,30.197844139090744,32.68420263375594,5.027200617464252e-05,8.963816940734597e-06,3.8526413579778284e-05,3.223994581978134e-05,0.00028415403272055907,4.890138596663055e-05,7.308395517114471e-05,4.7696604773182675e-06,1.956558445447364e-05,2.1144929728137075e-05
30135,Kepler-91 b,Kepler-91,0,Published Confirmed,0,936987000.0,0.072,15.513,279.68,3168356100.0,6.3,41512.81117964399,14.660125774214045,375.4889309909056,804.9139132970045,344.89905649550496,373.2965372881663,7.17511139808498e-07,3.886864105249766e-08,6.536151735935626e-07,7.477474032684213e-07,2.8291328339440874e-06,5.314018689166396e-07,2.7688134286457805e-06,5.438815628826498e-08,5.433731244407774e-07,5.606147801956283e-07
