,Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,stellarEffTemp,stellarRadius,density,escapeVelocity,surfaceEarthTemp,surfaceVenusTemp,surfaceMarsTemp,surfaceTitanTemp,similarityIndex_Earth,similarityIndex_Jupiter,similarityIndex_Arrakis,similarityIndex_Erid
31,GJ 9827 c,GJ 9827,0,5887500.0,1.241,0.84,4340.0,417805.2,0.43898308118616336,0.821693403561248,844.1054553220065,1809.4600644700283,775.3389010828654,839.1769172694675,0.249925367985065,0.009613994550741996,0.30280374649313274,0.1877986627774861
32,TRAPPIST-1 b,TRAPPIST-1,0,1666500.0,1.086,0.85,2559.0,83561.04,0.6628469936026317,0.8835896060475205,418.3647279571588,896.824280483489,384.28190030165626,415.92199231485637,0.5847826459912887,0.012186604064418722,0.6876689964911684,0.3060923484989264
37,L 98-59 b,L 98-59,0,3423000.0,0.8,1.01,3412.0,215866.02,1.9703131401701846,1.1222038172380744,625.580542371832,1341.0208421168336,574.6165093511556,621.9279211400082,0.3556262278007934,0.0033213931252926805,0.34817881095273634,0.24196087236991562
39,TRAPPIST-1 f,TRAPPIST-1,0,5773500.000000001,1.045,1.039,2566.0,83561.04,0.9093907179664357,0.9958769414040944,225.3847370102098,483.14423060502435,207.02336800759548,224.0687672509662,0.816273779006507,0.015900123633437065,0.7587398028656693,0.26646462984110897
50,GJ 3929 b,GJ 3929,0,3853500.0,1.15,1.21,3369.0,222829.44,0.7946496384707102,1.0244713397386411,591.486900543833,1267.9362731792057,543.3003667742195,588.0333442630049,0.5330022185181915,0.009623384874691237,0.5820002326184435,0.376082871055392
54,TRAPPIST-1 c,TRAPPIST-1,0,2370000.0,1.097,1.308,2566.0,83561.04,0.9896273794270891,1.0905776834692316,351.77900362408775,754.0883127381553,323.12070058814936,349.7250467464081,0.8171799457059983,0.012300045389826842,0.7915940012216216,0.40414531785071717
55,TRAPPIST-1 g,TRAPPIST-1,0,7024499.999999999,1.129,1.321,2566.0,83561.04,0.9168638140518537,1.0803400741016758,204.33199678666384,438.01468850576595,187.6857267605308,203.1389491465083,0.7171365826476853,0.019312971248644575,0.6551167888524364,0.27757401599341175
56,TRAPPIST-1 g,TRAPPIST-1,0,6765000.0,1.127,1.34,2559.0,83561.04,0.9350113679923235,1.0890466649913726,207.646120196941,445.1189832616079,190.72985920485564,206.43372215070127,0.7289367256729755,0.01891961986618443,0.6528378292029696,0.2848140501240201
59,TRAPPIST-1 b,TRAPPIST-1,0,1731000.0,1.116,1.374,2566.0,83561.04,0.9873655944523843,1.1081978858681525,411.6191329845953,882.3641385225689,378.0858472371937,409.2157833233924,0.7335402998463691,0.011264404308794603,0.7153091608652006,0.45021793677696703
60,TRAPPIST-1 c,TRAPPIST-1,0,2281500.0,1.056,1.38,2559.0,83561.04,1.1704993387746376,1.1417305774808217,357.55881128015284,766.4781522635714,328.4296459198844,355.4711074318907,0.746842547827316,0.010627521793061562,0.7125991053696724,0.39626849578683376
