,Unnamed: 0,Name,starName,defaultPlanetEntry,numStars,numPlanets,solution,controversial,orbitalPeriod,planetSemimajor,planetEarthRads,earthMass,bestEarthMass,bestMassProvenance,eccentricity,equilTemp,stellarEffTemp,stellarRadius,stellarMetallicity,stellarMetallicityRatio,luminosity,stellarAge,distance,density,escapeVelocity,surfaceEarthTemp,surfaceVenusTemp,surfaceMarsTemp,surfaceTitanTemp,similarityIndex_Earth,similarityIndex_Arrakis
32995,32995,TOI-2136 b,TOI-2136,1,1,1,Published Confirmed,0,7.851928,8550000.0,2.19,6.37,6.37,Mass,0.0,395.0,3342.0,236756.28000000003,0.03,[Fe/H],-1.886,4.6,33.3631,0.6057465212529431,1.7033492632234044,121.11943390090809,99.97660292988127,117.24789871998,109.63891746292423,0.4172510257068236,0.3830106131612863
32996,32996,TOI-2145 b,TOI-2145,1,1,1,Published Confirmed,0,10.26075,16620000.0,11.982,1671.77742,1671.77742,Mass,0.208,1484.0,6177.0,1914940.5,0.247,[Fe/H],0.997,1.8,224.731,0.9706761305626628,11.797245527713052,456.7003873519843,376.97792842697544,442.10213866611895,413.41124592057986,0.222230959611936,0.2299299732388886
32998,32998,TOI-2152 A b,TOI-2152,1,3,1,Published Confirmed,0,3.3773512,7596000.0,14.359,899.45439,899.45439,Mass,0.057,1802.0,6630.0,1121110.62,0.282,[Fe/H],0.653,0.83,303.006,0.30345227668589236,7.904665985811101,554.1845469896407,457.4450740051224,536.4702553908834,501.6551997455275,0.16332403758557998,0.17622034664882558
33000,33000,TOI-2154 b,TOI-2154,1,1,1,Published Confirmed,0,3.8240801,7695000.0,16.287,292.40213,292.40213,Mass,0.117,1580.0,6280.0,974878.7999999999,0.011,[Fe/H],0.435,2.9,296.46,0.06759912642930323,4.231806156222031,485.67145357642465,400.8917520892114,470.1471561260919,439.63623918791137,0.1322157233524179,0.14330336211010425
33010,33010,TOI-2180 b,TOI-2180,1,1,1,Published Confirmed,0,260.79,124200000.0,11.321,875.61726,875.61726,Mass,0.3683,348.0,5695.0,1142000.88,0.253,[Fe/H],0.406,8.1,116.685,0.6027591106399324,8.783564805942857,118.88747182488996,98.13425625567884,115.08728043596531,107.61851579862041,0.1707782583754646,0.15540689887447823
33016,33016,TOI-2193 A b,TOI-2193 A,1,2,1,Published Confirmed,0,2.1225735,4978500.0,19.84,298.7587,298.7587,Mass,0.0,1763.0,5966.0,870427.5,0.027,[Fe/H],0.25,5.5,337.064,0.03821020770389855,3.8756584306724298,542.8097425647182,448.0558763448533,525.4590421262639,491.3585759640682,0.09884133528106542,0.10760537472234918
33018,33018,TOI-2196 b,TOI-2196,1,1,1,Published Confirmed,0,1.1947268,3351000.0,3.51,26.0,26.0,Mass,0.0,1860.0,5634.0,724195.68,0.14,[Fe/H],-0.004,4.5,259.947,0.600531564775078,2.718248543529487,571.6229748395587,471.8394178417936,553.3512707369065,517.4406958475364,0.3776272657866323,0.40768309968223215
33021,33021,TOI-2202 b,TOI-2202,1,1,2,Published Confirmed,0,11.9101,14346000.0,11.321,310.83618,310.83618,Mass,0.042,,5144.0,550110.18,0.04,[Fe/H],-0.401,7.48,235.933,0.2139740134993615,5.233345828298899,219.82722440718564,181.4537801234747,212.8005334327671,198.9905181739992,0.2283952017484331,0.21321174217243086
33025,33025,TOI-2207 b,TOI-2207,1,1,1,Published Confirmed,0,8.001968,12810000.0,11.153,203.41018,203.41018,Mass,0.174,1259.0,6101.0,1086293.52,0.181,[Fe/H],0.484,3.3,373.345,0.14644731660962665,4.265270109404245,387.1883886366347,319.60007195422634,374.81206371523535,350.4880630392077,0.2148334494444203,0.23078078582467837
33026,33026,TOI-2236 b,TOI-2236,1,1,1,Published Confirmed,0,3.5315902,7513500.0,14.37,502.16888,502.16888,Mass,0.0,1688.0,6248.0,1093256.94,0.119,[Fe/H],0.533,2.52,355.59,0.16902982115457119,5.9040844643979105,520.0268220076791,429.24998426994773,503.4043686854805,470.7351742021248,0.15805659733175778,0.1709324990763936
33032,33032,TOI-2285 b,TOI-2285,1,1,1,Published Confirmed,0,27.26955,20445000.0,1.74,19.5,19.5,Mass,0.3,284.0,3491.0,320317.32,-0.05,[Fe/H],-1.542,,42.409,3.6971809565305063,3.3434800008197003,95.47800419301046,78.81118831476456,92.42608725175015,86.42795531728227,0.26046395950876505,0.22529925232259695
33037,33037,TOI-2338 b,TOI-2338,1,1,1,Published Confirmed,0,22.65398,23700000.0,11.209,1900.61387,1900.61387,Mass,0.676,799.0,5581.0,731159.1,0.22,[Fe/H],-0.013,7.0,313.996,1.3479603809242917,13.005275625881529,213.83200920001372,176.50510070067466,206.99695292734577,193.56356987923292,0.2310398227320683,0.20441491535690334
33039,33039,TOI-2364 b,TOI-2364,1,1,1,Published Confirmed,0,4.0197517,7306500.000000001,8.608,71.51139,71.51139,Mass,0.0,1091.0,5306.0,619744.38,0.344,[Fe/H],-0.252,3.5,219.614,0.11198304838777627,2.8786742893108257,335.6156432550005,277.02995978509364,324.88782090409205,303.80373012811236,0.25730491531331834,0.27600936975726637
33048,33048,TOI-2421 b,TOI-2421,1,1,1,Published Confirmed,0,4.3474032,8145000.0,10.368,105.83686,105.83686,Mass,0.0,1534.0,5607.0,1218598.5,0.19,[Fe/H],0.436,7.5,327.927,0.09484966948994057,3.191001639162462,472.33632402350014,389.88442725790486,457.2382787570128,427.5651031090667,0.1849296517584032,0.2003790931457831
33052,33052,TOI-244 b,TOI-244,1,1,1,Published Confirmed,0,7.397225,8385000.0,1.52,2.68,2.68,Mass,,458.0,3433.0,299427.06,-0.39,[Fe/H],-1.643,7.0,22.0337,0.7622332175628312,1.3261774875370151,140.66801407365656,116.11274702194157,136.17161619779623,127.33455142560292,0.5505472970568013,0.5073278190383129
33056,33056,TOI-2497 b,TOI-2497,1,1,1,Published Confirmed,0,10.655669,17490000.0,11.142,1531.93292,1531.93292,Mass,0.195,1595.0,7360.0,1643367.1199999999,0.094,[Fe/H],1.167,1.0,285.289,1.1062012055264734,11.711009833416288,490.9666412188652,405.2626020454671,475.2730851732182,444.429513249572,0.21508505721863294,0.2205509072054045
33059,33059,TOI-251 b,TOI-251,1,1,1,Published Confirmed,0,4.93777,8611500.0,2.74,317.83,317.83,Mass,0.0,,5875.0,612780.96,-0.106,[Fe/H],-0.08,0.18,99.523,15.43217147455153,10.756679053366323,341.316659672634,281.7357962997258,330.4066065688475,308.9643657778716,0.20400125660881246,0.20425863229582583
33060,33060,TOI-2525 b,TOI-2525,1,1,2,Published Confirmed,0,23.2856,22665000.0,8.676,26.69759,26.69759,Mass,0.17,,5096.0,550110.18,0.14,[Fe/H],-0.44,3.99,395.398,0.04083168197096868,1.7519927561877173,171.00902385699325,141.15737437779606,165.54278750833114,154.79963576622654,0.16956999314390786,0.15879977298258616
33063,33063,TOI-2525 c,TOI-2525,1,1,2,Published Confirmed,0,49.2519,37350000.0,10.133,208.81326,208.81326,Mass,0.157,,5096.0,550110.18,0.14,[Fe/H],-0.44,3.99,395.398,0.20046002795402418,4.533838684795934,133.21452685210056,109.96035422755236,128.95637677074743,120.58755596850963,0.17638244701969416,0.16253670429255848
33067,33067,TOI-2567 b,TOI-2567,1,1,1,Published Confirmed,0,5.983944,10080000.0,10.929,63.88351,63.88351,Mass,0.0,1352.0,5611.0,1176817.98,0.241,[Fe/H],0.405,7.6,504.775,0.04888001526869592,2.414683531766447,417.0773674211355,344.27157567312935,403.74565302044846,377.5439629263058,0.17088320439844099,0.1850121619713402
33069,33069,TOI-257 b,TOI-257,1,1,1,Published Confirmed,0,18.38818,22920000.0,7.163,43.86032,43.86032,Mass,0.0,1027.0,6095.0,1302159.54,0.175,[Fe/H],0.636,,76.9028,0.11919849809923644,2.4714081278552293,315.9290656168484,260.7799073187977,305.83051699570757,285.98317903007234,0.2965759599861283,0.30889730707285057
33070,33070,TOI-2570 b,TOI-2570,1,1,1,Published Confirmed,0,2.9887615,6217500.0,13.641,260.61929,260.61929,Mass,0.0,1431.0,5771.0,759012.78,0.191,[Fe/H],0.079,4.4,361.857,0.10255380335204312,4.365522414751154,440.18880443723305,363.3486377702634,426.1183420205767,398.46474214271603,0.16736509564303273,0.18067376703108426
33073,33073,TOI-2583 A b,TOI-2583 A,1,2,1,Published Confirmed,0,4.5207265,8565000.0,14.46,79.4571,79.4571,Mass,0.0,1456.0,5936.0,1030586.16,0.158,[Fe/H],0.388,4.4,566.189,0.026248934083850206,2.3411986062763153,448.05693740530114,369.84329498763134,433.73497320554515,405.58708042724845,0.1238198079659961,0.13445023718363047
33075,33075,TOI-2587 A b,TOI-2587 A,1,2,1,Published Confirmed,0,5.45664,9525000.0,12.072,69.28659,69.28659,Mass,0.0,1445.0,5760.0,1204671.66,0.13,[Fe/H],0.471,6.7,373.675,0.03933646673135982,2.3927153112961546,445.67102280751055,367.8738700267859,431.42532343170996,403.42731889901376,0.14893645788688756,0.16161778838666369
33076,33076,TOI-2589 b,TOI-2589,1,1,1,Published Confirmed,0,61.6277,45000000.0,12.106,1112.39942,1112.39942,Mass,0.522,592.0,5579.0,745085.9400000001,0.12,[Fe/H],-0.004,11.0,200.273,0.6262425695016378,9.573838350014475,155.987799935778,128.75828290977603,151.00171111586974,141.20222470965228,0.19757457860043284,0.1809526691393359
33084,33084,TOI-270 b,TOI-270,1,1,3,Published Confirmed,0,3.3601538,4795500.0,1.206,1.58,1.58,Mass,0.034,581.0,3506.0,264609.96,-0.2,[Fe/H],-1.712,,22.4793,0.8997026598826391,1.1431703132480626,178.76394986559882,147.55858625059327,173.04983034987723,161.81949761006743,0.7114750703394727,0.6592190977891089
