,Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,stellarEffTemp,stellarRadius,luminosity,density,escapeVelocity,surfaceEarthTemp,surfaceVenusTemp,surfaceMarsTemp,surfaceTitanTemp,similarityIndex_Earth,similarityIndex_Arrakis,similarityIndex_Erid,similarityIndex_Mesklin,similarityIndex_Dhrawn
95,LHS 1140 c,LHS 1140,0,4101000.0,1.169,1.76,2988.0,146231.82,-2.488,1.100406064580014,1.225476892319672,12366.648161732415,10207.90333160398,11971.353105552764,10062.346412790628,0.04206043589533059,0.04558718099430395,0.060672723031795175,0.0032545353737763356,0.008931268689667178
98,K2-3 d,K2-3,0,31455000.0,1.65,1.8,3835.0,417805.2,-1.15,0.40022527651792,1.0431585660835465,9646.106330778226,7962.264282382832,9337.772326764185,7848.728464294404,0.04350206697611945,0.04929043662193163,0.06601015680105862,0.003175581973216986,0.008888656372046297
100,LHS 1140 c,LHS 1140,0,4012500.0,1.282,1.81,3216.0,146231.82,-2.356,0.8580218355196481,1.1867283654506613,13489.298557316399,11134.581810965108,13058.118421737005,10975.811163552971,0.03782109444164362,0.042606508778909744,0.05511512815853248,0.0028135854001492353,0.00778362187707445
103,GJ 357 b,GJ 357,0,5250000.000000001,1.217,1.84,3505.0,236756.28000000003,-1.798,1.0196002404300655,1.2280602396601665,16259.8763255005,13421.522432258927,15740.135758654576,13230.141755193197,0.032338822368109324,0.03509560322986009,0.047241929956770685,0.002454520558155027,0.006768151011114745
104,GJ 3473 b,GJ 3473,0,2383500.0,1.264,1.86,3347.0,250683.12,-1.824,0.9199316550151163,1.2115434203779671,23773.291280057012,19623.381864442883,23013.38735223241,19343.567400287167,0.021899431901870388,0.02447690295619181,0.03219254149394757,0.0016415656984487788,0.004551317681382231
112,L 98-59 d,L 98-59,0,7290000.0,1.521,1.94,3415.0,208902.6,-1.948,0.5506782564146664,1.12795638292766,12657.068354652958,10447.627241923701,12252.490130958971,10298.652042919159,0.03599937982006329,0.04070622839603382,0.054852212928680505,0.002694033211363538,0.007523282158042465
126,GJ 1252 b,GJ 1252,0,1374000.0,1.193,2.09,3458.0,271573.38,-1.708,1.2294441250174657,1.3219315549745039,33473.68487509043,27630.456926465187,32403.711672150603,27236.46767666796,0.015182157339958044,0.01646057201946558,0.02296406789208129,0.0012888241201100509,0.0035467155657496465
141,L 98-59 c,L 98-59,0,4560000.0,1.385,2.22,3415.0,208902.6,-1.948,0.8346175163632165,1.2644674342416136,16003.481360203281,13209.884243298167,15491.936357821218,13021.521365450128,0.030997100314233802,0.03492371145247825,0.04782604215950247,0.002456253026808189,0.006809285618750958
148,LHS 1478 b,LHS 1478,0,2772000.0,1.242,2.33,3381.0,174085.5,-2.146,1.214716622120708,1.3679594088201634,18314.719715788287,15117.668584014951,17729.29688623211,14902.102155998544,0.027233284774462532,0.0294950074861881,0.04221463005530165,0.002393160043772999,0.0065668166236282025
149,LTT 3780 b,LTT 3780,0,1804500.0,1.35,2.34,3360.0,264609.96,-1.777,0.9499448504238092,1.3149132229123113,28071.682710761466,23171.438187562155,27174.382387417158,22841.031145342877,0.01817365475784277,0.02008273218237966,0.028343616322382283,0.0014694346275004656,0.004073119268373264
161,TOI-1064 c,TOI-1064,0,14143500.0,2.651,2.5,4734.0,508329.66,-0.623,0.1340277313159773,0.9698871127121717,19483.56578756258,16082.478737433723,18860.781251943063,15853.15485221877,0.014663053450915215,0.0169162091756797,0.024126098339659577,0.0012259724280541183,0.0034940123051487425
185,GJ 486 b,GJ 486,0,2601000.0,1.305,2.82,3340.0,229792.86000000002,-1.917,1.267364138717238,1.4681666226216255,21571.319610649167,17805.79041635748,20881.800843248067,17551.893420485943,0.022471235247914518,0.02432292485927316,0.03657311304203745,0.0021364003492428305,0.005858933536251399
200,TOI-178 d,TOI-178,0,8880000.0,2.572,3.01,4316.0,452622.3,-0.879,0.17670036382822754,1.0804478606930241,21219.75702734558,17515.597243685435,20541.47581997693,17265.838181207535,0.01458898621769914,0.016631953753719248,0.02477543070970545,0.0012670745688520108,0.0036055026542813153
206,K2-3 c,K2-3,0,21195000.0,1.77,3.1,3835.0,417805.2,-1.15,0.5583747044896229,1.3217528696957144,11751.144839554723,9699.843400497246,11375.524105563025,9561.531028947138,0.03654625399332276,0.04125966639843447,0.06280642566970582,0.0031936993983919023,0.008907379895777284
213,TOI-561 b,TOI-561,0,1596000.0,1.45,3.2,5326.0,577963.86,-0.282,1.0484067598580042,1.4837032100238539,70579.8037044852,58259.263460604525,68323.74797251678,57428.53078160214,0.0070109388270123375,0.007608552017949908,0.01200426200054003,0.0006401324034470444,0.0017736759843272137
229,TOI-1685 b,TOI-1685,0,1733550.0,1.459,3.43,3461.0,320317.32,-1.567,1.1030928897558019,1.5313535241449778,32320.5470933027,26678.61299506475,31287.43348710026,26298.196314025772,0.014989866612116402,0.016246956380651406,0.025971467354482445,0.001433281799411035,0.003956103077535029
246,HD 21749 c,GJ 143,0,10425000.000000002,0.892,3.7,4640.0,480475.98,-0.686,5.207041054227936,2.0341102258771064,21885.6201793906,18065.226100208238,21186.054917632013,17807.629749283577,0.015198187279018309,0.016384699630232577,0.025274792246730564,0.003033801358714049,0.007575524357462979
250,Kepler-10 b,Kepler-10,0,2527500.0,1.47,3.72,5708.0,738122.52,0.002,1.1697007719576802,1.588798608609528,66046.72804710052,54517.48982070924,63935.57029987444,53740.111981013935,0.00722736250543404,0.007832048262795769,0.012782356172832314,0.0007251006688041871,0.0020015325818260174
