,Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,stellarEffTemp,stellarRadius,density,escapeVelocity,surfaceEarthTemp,surfaceVenusTemp,surfaceMarsTemp,surfaceTitanTemp,similarityIndex_Earth,similarityIndex_Jupiter,similarityIndex_Arrakis,similarityIndex_Erid,similarityIndex_Mesklin,similarityIndex_Habranah,similarityIndex_Dhrawn
72,GJ 9827 c,GJ 9827,0,6435000.0,1.24,1.45,4219.0,431732.04,0.7602918736804521,1.0800135563352953,797.8622308046401,1710.3311375226535,732.8629632083192,793.2036963283948,0.3973904460213541,0.008942738544432827,0.2905420281760315,0.3402761836391588,0.0010059244357599707,0.03699438432260061,0.005982113638333539
74,TOI-178 b,TOI-178,0,3910500.0,1.152,1.5,4316.0,452622.3,0.9808694846813257,1.1396603480759493,1072.0592333731993,2298.1113998311403,984.7220186276709,1065.799725520309,0.36833493901845393,0.005530103946677236,0.23992062308971893,0.3166977450449372,0.000977579368444162,0.034301743965025416,0.006074348484556995
75,LTT 1445 A c,LTT 1445 A,0,3991500.0000000005,1.147,1.54,3340.0,188012.34000000003,1.0202529729994596,1.157270012522518,529.245403074369,1134.5127734094474,486.1294837459647,526.1552606143985,0.6079834010350401,0.009867017802404563,0.4092025698609067,0.4932831562384247,0.0018303673660465729,0.059217213026491425,0.009514328291548562
77,TOI-270 b,TOI-270,0,4795500.0,1.206,1.58,3506.0,264609.96,0.9005183467909643,1.1431703132480626,601.289437372195,1288.949404666019,552.3043224818949,597.7786463282631,0.5241713397849546,0.010178680983805108,0.3887477426301723,0.4509292740847848,0.0015260747635551242,0.04906445600362349,0.00835327061022638
78,TOI-561 b,TOI-561,0,1582500.0,1.423,1.59,5455.0,591890.7,0.5516451774921732,1.0557282924640858,2435.73014386949,5221.33389302214,2237.299049751734,2421.5084744985725,0.12225185506939605,0.004528063013673677,0.0849758533584176,0.13031793157950122,0.000302177885876205,0.010616187958668734,0.0022275752816570044
82,K2-138 f,K2-138,0,15670499.999999998,2.904,1.63,5356.3,598854.12,0.06653883154321708,0.7482583026200428,764.4859434879154,1638.784319978568,702.205734579814,760.0222854942895,0.030246727914456508,0.012635925637009004,0.025005888272055236,0.041783606167589055,0.0001349891424152824,0.0033593918967228806,0.0008629015436213473
85,GJ 1132 b,GJ 1132,0,2295000.0,1.13,1.66,3270.0,146231.82,1.1501385478416886,1.2105169377226184,602.6468175842318,1291.8591421526053,553.551121297513,599.1281011087267,0.5158407534269376,0.008235905737021626,0.34194503191492026,0.43967636192194065,0.0019002705650413678,0.05250633841084188,0.010180844503020904
95,LHS 1140 c,LHS 1140,0,4101000.0,1.169,1.76,2988.0,146231.82,1.101403712870658,1.225476892319672,411.94778143620596,883.0686432081978,378.3877217573829,409.5425128721107,0.6542956265767815,0.012029972330757418,0.4492712707816574,0.5034924859046657,0.0025386395145355015,0.06675703751245214,0.00951330690809544
98,K2-3 d,K2-3,0,31455000.0,1.65,1.8,3835.0,417805.2,0.4005881280832128,1.0431585660835465,322.6955385949044,691.743770151776,296.40657183416937,320.81139339560247,0.40150026547210704,0.03589145977664842,0.32309175500447285,0.2920300738562919,0.0013368846627220708,0.03590259137291717,0.003915722735618845
100,LHS 1140 c,LHS 1140,0,4012500.0,1.282,1.81,3216.0,146231.82,0.8587997338292761,1.1867283654506613,448.2445079705334,960.8758374642765,411.7274708214321,445.6273111493949,0.5843598330515354,0.014567065607515145,0.44618639896658074,0.5302035501920821,0.001996966628128794,0.053754275311676473,0.008520589240030319
