,Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,eccentricity,earthFlux,equilTemp,stellarEffTemp,stellarRadius,stellarMass,luminosity,stLogSurfaceGrav,Unnamed: 14,calculatedEqEarthTemp,calculatedEqVenusTemp,calculatedEqMarsTemp,calculatedEqTitanTemp,calculatedSurfaceEarthTemp,calculatedSurfaceVenusTemp,calculatedSurfaceMarsTemp,calculatedSurfaceTitanTemp,similarityIndex_Earth,similarityIndex_Venus,similarityIndex_Mars
678,HD 189567 b,HD 189567,0,0.111,,8.5,0.189,,,5726.0,,0.83,0.324,4.41,,50.39423171263371,38.57574702788808,51.28930928500125,51.03091663716543,651.1791367479377,1395.8950689543567,598.1296686462398,769.8653953738913,,,
683,K2-111 b,K2-111,0,0.0621,1.9,8.6,0.0,,1309.0,5730.0,1.23,0.88,0.279,4.15,,64.90248359950303,49.68151519985216,66.05524961034595,65.72246698784211,838.6504130893675,1797.7664058072107,770.3282635809416,991.505862853595,0.001252678669410643,0.0011026680717427981,6.927590734556557e-05
694,HD 93385 d,HD 93385,0,0.2565,,8.7,0.09,,,5977.0,,1.04,0.207,4.42,,29.638414470538063,22.6875961805078,30.164837419584856,30.012868669741252,382.97869604516893,820.9692896395053,351.77865450062166,452.7817748017325,,,
709,HD 45184 c,HD 45184,0,0.11,,8.81,0.07,,,5869.0,,1.03,0.053,4.47,,32.19427802205289,24.64405711760982,32.76609696316556,32.60102321443341,416.0047977349721,891.7654345003724,382.1142259979705,491.827332928882,,,
711,HD 136352 d,HD 136352,0,0.425,2.562,8.82,0.0,5.74,431.0,5664.0,1.06,0.87,0.016,4.39,,12.140640408637225,9.293410321855053,12.356276495836983,12.294026271654602,156.8777114401681,336.2896804738095,144.09738928415584,185.47080907167702,0.0055964593243216405,0.003178286486010886,0.0005324534116365817
712,HD 213885 b,HD 213885,0,0.02012,1.745,8.83,0.0,,2128.0,5978.0,1.1,1.07,0.139,4.38,,95.79564750054561,73.32959624082059,97.4971227030472,97.00593769699407,1237.8426046720838,2653.4916284829064,1136.999552329494,1463.4562633805683,0.00043616813697258655,0.0003923449134032076,2.3697719676512605e-05
716,HD 96700 b,HD 96700,0,0.0777,,8.9,0.138,,,5845.0,,0.89,0.14,4.39,,48.83459213937305,37.3818750392076,49.701968160282014,49.4515724475181,631.0259422961373,1352.6938311207248,579.6182900725667,746.0390069976186,,,
746,KOI-94 c,KOI-94,0,,,9.4,,,,6184.0,1.43,1.18,0.43,4.2,,,,,,,,,,,,
780,HD 134060 b,HD 134060,0,0.0444,,10.1,0.45,,,5966.0,,1.09,0.158,4.43,,66.58537531892131,50.96973416931276,67.76803202525821,67.42662050153643,860.3962347806291,1844.3816665798279,790.3025231796014,1017.2151564554777,,,
783,HD 160691 d,HD 160691,0,0.09286,,10.17,0.184,,,5771.56,1.38,1.03,0.278,4.17,,53.02771636880795,40.59162532280281,53.96956860114763,53.69767295802409,685.2082350547696,1468.8412796771008,629.3865258549102,810.0967598998512,,,
800,WASP-47 d,WASP-47,0,,3.6,10.4,,,,5576.0,1.11,0.98,0.032,4.34,,,,,,,,,,,,
