,Name,starName,controversial,planetSemimajor,planetEarthRads,earthMass,stellarEffTemp,stellarRadius,density,escapeVelocity,surfaceEarthTemp,surfaceVenusTemp,surfaceMarsTemp,surfaceTitanTemp,similarityIndex_Earth
59,TRAPPIST-1 b,TRAPPIST-1,0,1731000.0,1.116,1.374,2566.0,83561.04,0.9882607581826222,1.1081978858681525,411.6191329845953,882.3641385225689,378.0858472371937,409.2157833233924,0.7398439550652327
60,TRAPPIST-1 c,TRAPPIST-1,0,2281500.0,1.056,1.38,2559.0,83561.04,1.171560534911333,1.1417305774808217,357.55881128015284,766.4781522635714,328.4296459198844,355.4711074318907,0.752190785420338
61,LHS 1678 c,LHS 1678,0,4965000.0,0.982,1.4,3490.0,229792.86000000002,1.4779882252422083,1.1925162952135844,548.1754514042408,1175.092023615008,503.51736197491095,544.9747807360445,0.5071107447721498
63,TOI-500 b,TOI-500,0,1783500.0,1.166,1.42,4440.0,473512.56000000006,0.8955092887262255,1.1021759879388358,1670.3123108754257,3580.5519353843874,1534.2373437040517,1660.5597405871158,0.24703405981679755
72,GJ 9827 c,GJ 9827,0,6435000.0,1.24,1.45,4219.0,431732.04,0.7602918736804521,1.0800135563352953,797.8622308046401,1710.3311375226535,732.8629632083192,793.2036963283948,0.3973904460213541
74,TOI-178 b,TOI-178,0,3910500.0,1.152,1.5,4316.0,452622.3,0.9808694846813257,1.1396603480759493,1072.0592333731993,2298.1113998311403,984.7220186276709,1065.799725520309,0.36833493901845393
75,LTT 1445 A c,LTT 1445 A,0,3991500.0000000005,1.147,1.54,3340.0,188012.34000000003,1.0202529729994596,1.157270012522518,529.245403074369,1134.5127734094474,486.1294837459647,526.1552606143985,0.6079834010350401
77,TOI-270 b,TOI-270,0,4795500.0,1.206,1.58,3506.0,264609.96,0.9005183467909643,1.1431703132480626,601.289437372195,1288.949404666019,552.3043224818949,597.7786463282631,0.5241713397849546
78,TOI-561 b,TOI-561,0,1582500.0,1.423,1.59,5455.0,591890.7,0.5516451774921732,1.0557282924640858,2435.73014386949,5221.33389302214,2237.299049751734,2421.5084744985725,0.12225185506939605
82,K2-138 f,K2-138,0,15670499.999999998,2.904,1.63,5356.3,598854.12,0.06653883154321708,0.7482583026200428,764.4859434879154,1638.784319978568,702.205734579814,760.0222854942895,0.030246727914456508
